usage1_SampleID	usage1_CharacterStartingPosition	usage1_SequenceNumber	usage2_SampleID	usage2_CharacterStartingPosition	usage2_SequenceNumber	worker2	worker3	worker1
PM55_00131	17300	10090	PM41_00411	6560	4240	4	4	4
PM11_00303	3780	1860	PM31_00197	16620	10170	4	4	4
PM21_00195	37580	21660	PM21_00535	41880	27350	4	4	4
PM11_00798	26610	17620	PM41_00785	7000	4010	4	4	4
PM11_00897	4130	2500	PM11_00015	27650	16500	4	4	4
PM21_00088	10200	6140	PM41_00195	4850	2750	4	4	4
PM31_00553	23740	14650	PM11_00198	1680	1030	4	4	4
PM21_00708	12490	6840	PM13_00038	54850	35070	4	4	4
PM31_00378	16290	10370	PM51_00600	10040	5690	4	4	4
PM11_00147	4880	3380	PM21_00723	50970	30890	4	4	4
PM35_00085	26770	14920	PM31_00439	23890	15210	4	4	4
PM33_00027	79670	52570	PM21_00549	12230	7830	4	4	4
PM31_00742	3000	1470	PM51_00187	30830	16800	4	4	4
PM55_00044	33190	19190	PM25_00051	128060	77900	4	4	4
PM11_00897	11980	7720	PM11_00473	5480	3460	4	4	4
PM51_00490	70640	42370	PM31_00069	5400	2960	4	4	4
PM11_00270	9030	5340	PM11_00269	9850	5730	4	4	4
PM15_00164	22960	13220	PM51_00345	24120	13450	4	4	4
PM51_00187	21190	11650	PM21_00532	2990	1780	4	4	4
PM21_00549	10540	6720	PM11_00798	89690	59050	4	4	4
