usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker2	worker3
10560	60M太陽1895_03052	7180	91210	PM12_00059	61330	3	2	4
15630	60M国民1888_30007	10180	53150	PM21_01099	30110	1	2	2
69640	60M太陽1917_04015	45400	54040	PM25_00067	31410	3	4	3
51720	60M太陽1895_03012	33540	5170	PM31_00337	3240	2	2	2
107490	60M太陽1901_04046	74150	3260	PM15_00326	1770	3	4	4
1080	60M国民1888_20028	740	6960	PM55_00131	3940	1	2	2
48540	60M太陽1895_02033	33460	55120	PM31_00075	33190	2	2	3
10080	60M明六1875_33004	6510	11980	PM11_00082	7450	3	2	2
8700	60M国民1888_24008	5640	22160	PM21_00043	13260	2	2	2
34240	60M太陽1895_09002	23260	54950	PM25_00067	31980	3	4	4
23140	60M国民1887_09001	15380	32930	PM15_00143	19240	1	2	2
6010	60M女世1909_08009	4140	74760	PM41_00115	43340	4	2	4
2870	60M国民1887_06003	1970	44400	PM15_00321	26110	1	2	2
19840	60M太陽1925_05067	13670	25190	PM31_00353	14750	3	2	3
21830	60M太陽1895_09002	14610	8960	PM31_00337	5640	3	2	3
46780	60M太陽1925_04056	31150	42420	PM25_00067	23900	2	4	3
86420	60M太陽1901_07049	58720	7130	PM11_00082	4460	3	4	3
142330	60M太陽1925_14001	94200	57730	PM25_00067	33800	2	2	3
176800	60M太陽1901_05053	120340	7810	PM51_00729	4710	2	4	2
190570	60M太陽1895_09059	132110	42610	PM21_00320	26650	3	4	3
