usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker2	worker3
43520	PM25_00067	24650	4590	PM11_00786	2700	3	4	4
2290	PM25_00086	1170	14970	PM11_00082	9240	3	4	3
90210	PM12_00059	60640	10550	PM21_01099	5560	3	4	3
3620	PM15_00326	2000	23110	PM11_00082	14350	4	4	4
64710	PM25_00067	38080	47760	PM51_00112	29580	2	2	3
8000	PM51_00400	5100	53300	PM25_00067	30970	2	2	3
43350	PM25_00067	24540	12310	PM55_00250	7880	2	2	3
12670	PM55_00250	8100	9960	PM31_00498	6010	4	4	4
52140	PM25_00067	30250	18700	PM31_00762	11650	2	2	3
43520	PM15_00321	25510	43330	PM11_00016	25640	3	4	4
26220	PM21_01099	14760	28500	PM11_00082	17810	3	4	4
43730	PM15_00321	25650	11780	PM55_00250	7560	4	4	4
112310	PM25_00056	57990	59320	PM25_00067	34810	2	2	3
6430	PM11_00082	4040	55230	PM13_00050	32610	2	2	3
19240	PM31_00762	11950	69670	PM25_00067	41160	2	2	4
46040	PM41_00503	27130	520	PM51_00400	340	4	4	4
57280	PM21_00282	38210	38760	PM25_00067	21690	2	2	3
80920	PM25_00067	48040	530	PM11_00157	210	1	2	2
26320	PM21_00584	17270	68260	PM25_00067	40250	2	2	3
49470	PM25_00067	28510	56380	PM25_00067	32930	4	4	4
