usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker2	worker3
25510	60M太陽1917_02025	17900	85830	PM41_00300	53960	4	4	4
1760	60M国民1887_05002	1220	7030	PM31_00518	3930	3	4	4
35030	60M太陽1901_09027	23460	80350	PM11_00394	48070	4	4	4
29690	60M太陽1909_04024	20370	83710	PM21_00600	49660	4	4	4
49330	60M太陽1895_09025	33540	102290	PM31_00707	62720	1	「苹果」は果実のりんごと判断できますが、「クミリンゴ」は、クミリンの音の流れでゴを付けて「クミリンゴ」としたのか、りんごを意識して「クミ/リンゴ」で分けてペンネームとしたのか。けれど、どちらも果実のりんごを意識してペンネームとしているなら「４」とも考えられる。など、判断が難しく「その他」としました。	1
73670	60M太陽1925_02065	47930	230	PM12_00062	130	2	4	4
14750	60M国民1888_33002	9410	49020	PM51_00160	27430	1	3	3
30450	60M太陽1909_04009	20260	43460	PM15_00214	24430	4	4	4
2490	60M婦倶1925_12105	1680	26490	PM41_00046	15580	4	4	4
1160	60M太陽1925_11039	770	8730	PM52_00072	5240	1	「林檎」は果実だとわかりますが、「リンゴ」が人名(あるいはグループ名か)だと、果実のりんごをイメージしていて「４」なのか、それとも果実のりんごとは関係なく、ただ音のひびきでりんごの名前が付いて「１」なのかと判断できませんでした。	1
1830	60M女世1909_13008	1240	76620	PM11_00394	45910	3	4	4
42200	60M女世1909_08023	27320	11040	PM31_00836	7090	1	2	1
23170	60M婦倶1925_12120	14990	6890	PM41_00231	3760	3	4	4
42460	60M太陽1901_07034	28560	32950	PM21_00854	19720	4	4	3
24010	60M太陽1909_01004	16820	21180	PM31_00366	13320	4	4	4
61210	60M太陽1909_14030	42720	58390	PM21_00650	33140	4	4	4
80500	60M太陽1901_14039	54730	47530	PM11_00446	26630	3	4	4
50330	60M女世1909_08023	32470	9320	PM41_00224	5110	4	4	4
19890	60M太陽1901_14022	13720	90920	PM21_00644	51990	4	4	4
15870	60M女世1909_05008	10980	16380	PM51_00054	10080	1	2	1
