usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker2	worker3
10410	PM11_00449	6520	35030	PM22_00090	21620	4	4	4
17550	PM22_00020	10280	72330	PM41_00300	45560	3	4	4
73070	PM21_00650	41330	75440	PM11_00394	45190	3	4	4
72150	PM41_00300	45450	9330	PM13_00008	5100	3	4	3
6770	PM31_00518	3790	16560	PM21_00479	10290	3	4	4
84750	PM41_00300	53240	39150	PM41_00173	22780	3	4	4
8430	PM31_00518	4800	113000	PM11_00394	68610	3	4	3
11060	PM52_00072	6600	2800	PM11_01041	1770	1	1	1
85740	PM41_00300	53930	34750	PM22_00090	21460	4	4	4
76150	PM11_00394	45610	47350	PM44_00009	27210	4	4	4
9450	PM13_00008	5170	83860	PM41_00300	52720	1	4	3
54170	PM51_00054	32830	68220	PM41_00300	42950	2	4	3
33920	PM22_00090	20910	47000	PM31_00820	28450	4	4	4
86260	PM41_00300	54270	119930	PM11_00394	73330	4	4	4
1790	PM11_00647	1050	57130	PM44_00009	33170	4	4	3
72230	PM41_00300	45500	7700	PM11_00761	4570	1	2	1
81030	PM11_00394	48480	19710	PM21_01001	11960	4	4	4
100520	PM41_00796	51460	73560	PM41_00300	46340	2	4	4
81420	PM11_00394	48700	74770	PM41_00300	47100	3	4	4
16330	PM46_00026	10410	5620	PM21_00330	3430	2	4	2
