usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker2	worker3
17490	60M国民1888_20003	11920	37130	PM51_00636	21830	2	1	3
127220	60M太陽1917_10034	85640	53050	PM41_00768	31200	1	1	2
40720	60M太陽1901_07034	27420	40860	PM32_00063	25630	2	1	4
131230	60M太陽1909_13061	89110	32000	PM25_00114	19880	3	4	4
3300	60M女雑1895_05023	2280	44920	PM41_00275	25750	2	1	3
82150	60M太陽1917_02006	54920	33830	PM42_00085	21920	2	4	4
36800	60M太陽1917_08026	23380	31650	PM11_00059	16150	2	4	3
19260	60M太陽1909_11052	13150	19700	PM22_00024	12970	3	4	4
2670	60M国民1888_22008	1800	47660	PM11_00082	29930	1	1	2
20920	60M太陽1909_08022	14360	26980	PM51_00030	15280	2	1	3
35340	60M太陽1909_11036	24100	8250	PM34_00007	5390	4	4	4
4790	60M国民1888_21001	3190	4950	PM31_01124	2950	2	4	3
23800	60M太陽1901_10010	16630	58750	PM22_00055	35550	1	1	2
7570	60M太陽1917_13051	5170	53200	PM51_00322	28430	1	1	2
67140	60M太陽1917_13007	44660	28600	PM11_01447	19020	2	1	2
36850	60M太陽1901_10008	24360	18850	PM22_00053	11280	1	1	2
4370	60M女雑1895_05008	3020	4310	PM21_00081	2730	2	1	2
107960	60M太陽1909_12005	72500	88060	PM51_00583	51030	1	1	2
51990	60M太陽1895_09021	35470	8450	PM32_00104	4610	1	1	2
30120	60M太陽1901_05042	19910	8620	PM22_00020	4900	2	3	2
