usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker2	worker3
62880	60M太陽1901_14027	41810	3180	60M国民1887_10025	2100	2	4	4
6900	60M太陽1901_12037	4440	25510	60M太陽1895_05036	17320	3	4	4
33310	60M国民1888_29002	22480	9510	60M太陽1895_07019	6500	4	4	4
91870	60M太陽1901_04042	62760	14740	60M太陽1909_01043	10130	2	4	4
810	60M太陽1895_06047	510	48740	60M国民1888_17002	32660	3	4	4
13270	60M太陽1909_05051	8940	5310	60M国民1888_17022	3510	2	4	4
7430	60M太陽1895_04046	4990	5140	60M国民1888_15017	3510	4	4	4
8920	60M太陽1909_14011	5960	11860	60M太陽1917_08007	7890	2	4	3
39730	60M太陽1917_01001	25500	3800	60M太陽1917_10028	2500	2	4	4
25260	60M太陽1901_05002	16490	31870	60M太陽1901_03006	21300	2	4	4
73590	60M太陽1917_03030	49370	30990	60M太陽1909_04043	22190	2	4	4
28310	60M女世1909_03023	19250	31510	60M太陽1901_08004	21640	2	4	3
12520	60M太陽1909_10030	8410	10540	60M太陽1909_13046	7020	2	4	4
34530	60M太陽1909_04043	24720	79100	60M太陽1909_10013	54230	3	4	4
5080	60M太陽1901_01023	3350	13550	60M国民1888_27005	8830	2	4	3
22080	60M太陽1901_01003	14760	12510	60M太陽1901_02046	8600	2	4	3
83380	60M太陽1901_08013	58520	6270	60M太陽1895_07048	4110	2	4	4
13470	60M太陽1901_12038	9020	37790	60M太陽1909_04043	27000	3	4	3
4750	60M太陽1895_08020	3300	90740	60M婦倶1925_12048	60490	2	4	3
34610	60M国民1888_23005	23270	37340	60M太陽1917_05017	24310	2	4	4
