usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
129700	60M太陽1909_13032	85950	1220	PM35_00096	520	1.0	2.0
3990	60M婦倶1925_12151	2740	7100	PM41_00172	4150	1.0	3.0
30930	60M太陽1909_13032	20420	20050	PM21_00272	12480	3.0	3.0
21450	60M太陽1909_13032	14130	53760	PM25_00098	30710	1.0	2.0
177060	60M太陽1909_13032	117730	99300	PM31_00861	47060	1.0	2.0
11730	60M婦倶1925_06166	8190	1230	PM11_00484	800	1.0	2.0
25420	60M太陽1909_13032	16770	17870	PM51_00219	9610	1.0	2.0
18110	60M太陽1909_13032	11980	20370	PM35_00060	11700	1.0	3.0
291560	60M太陽1909_13032	191710	40560	PM45_00056	20450	1.0	2.0
133980	60M太陽1909_13032	88760	16770	PM35_00018	9590	1.0	2.0
168530	60M太陽1909_13032	111940	10020	PM45_00056	5460	1.0	2.0
11270	60M女世1909_16028	7350	42960	PM12_00004	23790	1.0	1.0
18760	60M太陽1909_04030	12720	14300	PM31_00715	7830	2.0	2.0
182140	60M太陽1909_13032	121170	25630	PM45_00067	14680	1.0	2.0
172820	60M太陽1909_13032	114810	89500	PM51_00688	58100	3.0	4.0
123820	60M太陽1909_13032	82220	4340	PM55_00049	2210	1.0	2.0
286130	60M太陽1909_13032	188080	34840	PM15_00304	19580	1.0	2.0
148130	60M太陽1909_13032	98290	17770	PM45_00092	10240	1.0	2.0
30680	60M女世1909_16018	21010	11160	PM11_00332	6510	2.0	2.0
146480	60M太陽1909_13032	97160	33320	PM21_00722	19120	3.0	4.0
