usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
80410	PM55_00005	45550	91190	PM31_00861	43240	4.0	4.0
26240	PM45_00253	15000	12470	PM31_00066	7990	2.0	3.0
13520	PM31_00163	7640	42590	PM31_01073	22300	4.0	4.0
11820	PM51_00508	6650	10620	PM51_00378	5640	4.0	4.0
14360	PM41_01379	8450	1510	PM35_00161	660	4.0	3.0
9610	PM41_00570	5510	39170	PM45_00092	21840	4.0	3.0
53260	PM11_00160	27870	22010	PM25_00073	11300	1.0	1.0
48820	PM25_00296	27190	22930	PM45_00260	13330	4.0	4.0
90610	PM11_00263	53620	3950	PM45_00024	2190	4.0	4.0
86690	PM35_00058	47600	10230	PM41_01427	5650	4.0	4.0
25380	PM51_00934	14810	37560	PM55_00250	23750	1.0	1.0
26220	PM33_00041	17000	1230	PM31_00214	830	1.0	2.0
95000	PM51_00219	52190	53280	PM35_00054	28780	4.0	1.0
36810	PM25_00018	19560	50360	PM31_00820	30420	1.0	1.0
30570	PM25_00147	16510	3840	PM15_00036	2260	3.0	2.0
1720	PM51_00692	1030	35100	PM15_00298	19940	1.0	2.0
10930	PM31_00336	6320	28920	PM25_00040	17410	4.0	4.0
13790	PM11_00616	8540	19480	PM25_00073	9860	1.0	1.0
43430	PM35_00082	24150	13550	PM31_00336	7880	4.0	3.0
68100	PM55_00005	38550	23150	PM55_00203	13320	4.0	4.0
