usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker2	worker3	worker4
82460	PM41_01283	51640	37050	PM51_00692	19000	2.0	2.0	3.0	3.0
2420	PM11_00160	1200	40000	PM11_00493	21480	2.0	4.0	4.0	3.0
37310	PM21_00741	22860	15360	PM31_00483	9370	4.0	4.0	4.0	4.0
17300	PM51_00071	11390	34660	PM41_00208	17800	2.0	2.0	3.0	2.0
70590	PM31_00391	44880	24680	PM11_01163	15510	2.0	2.0	3.0	2.0
2330	PM41_01185	1320	35180	PM31_00731	22020	2.0	4.0	4.0	2.0
54980	PM45_00111	32750	73570	PM54_00011	46930	4.0	4.0	3.0	2.0
120940	PM41_00524	63600	15380	PM51_00821	9930	2.0	3.0	3.0	1.0
12580	PM11_00244	8280	9400	PM11_00360	5920	4.0	4.0	4.0	3.0
79220	PM11_00761	47330	42580	PM41_00477	27380	3.0	4.0	3.0	2.0
86920	PM41_00733	56590	24960	PM41_00984	15900	2.0	3.0	3.0	3.0
31070	PM51_00270	17640	7700	PM22_00047	5170	2.0	2.0	3.0	3.0
10380	PM51_00509	6500	78810	PM41_00144	41920	2.0	2.0	3.0	1.0
22160	PM51_00221	14820	7060	PM51_00149	3740	4.0	4.0	4.0	4.0
19390	PM33_00041	12500	13380	PM51_00300	6560	2.0	2.0	3.0	2.0
21970	PM21_00517	13450	25580	PM11_00632	14500	2.0	2.0	3.0	2.0
38080	PM45_00011	22210	79540	PM21_00937	48490	2.0	3.0	3.0	3.0
32640	PM11_00446	18360	21100	PM11_00486	13530	2.0	2.0	3.0	1.0
51610	PM21_01297	29620	69220	PM21_00600	41260	3.0	4.0	4.0	3.0
16360	PM11_00594	9930	29620	PM33_00054	18150	3.0	4.0	4.0	2.0
