usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker2	worker3	worker4
3770	60M太陽1917_01002	2470	12400	60M太陽1917_03008	8480	3.0	4.0	3.0	4.0
11540	60M国民1887_13020	7830	83900	60M太陽1925_12001	58490	2.0	3.0	2.0	2.0
32490	60M太陽1901_05012	21690	4070	60M女雑1894_30004	2590	3.0	4.0	3.0	3.0
6780	60M太陽1909_10006	4490	38770	60M太陽1895_09008	26460	3.0	4.0	3.0	4.0
60850	60M国民1888_25003	40720	21040	60M太陽1909_08048	14040	3.0	4.0	3.0	4.0
15510	60M太陽1901_08038	10030	11270	60M太陽1917_03008	7690	3.0	4.0	3.0	1.0
51030	60M太陽1909_10009	34790	2230	60M太陽1925_09071	1450	2.0	3.0	2.0	1.0
34300	60M太陽1909_08001	21760	29160	60M太陽1895_02033	20400	3.0	4.0	3.0	3.0
23830	60M太陽1901_08038	15900	10270	60M太陽1901_08003	6680	3.0	4.0	2.0	3.0
9880	60M国民1888_26004	6680	1080	60M太陽1925_09071	680	2.0	3.0	2.0	1.0
302050	60M太陽1917_04038	205170	1810	60M女世1909_13015	1260	3.0	4.0	3.0	2.0
28930	60M女雑1895_08001	19980	2930	60M女雑1894_45031	2040	3.0	4.0	4.0	2.0
63380	60M太陽1917_01023	38580	960	60M太陽1895_08058	670	3.0	4.0	3.0	3.0
84110	60M太陽1925_12001	58640	19240	60M太陽1917_01023	11900	2.0	3.0	2.0	3.0
79760	60M太陽1895_02004	51110	6790	60M国民1888_22007	4650	4.0	4.0	4.0	4.0
5530	60M東洋1882_10004	3710	51850	60M太陽1895_12007	33970	3.0	4.0	3.0	3.0
69020	60M太陽1909_13008	45400	74720	60M太陽1909_06001	48740	3.0	4.0	3.0	4.0
42870	60M太陽1895_03003	28750	34130	60M太陽1909_08001	21650	3.0	4.0	4.0	4.0
35360	60M太陽1917_10022	23120	52290	60M太陽1895_07046	34180	3.0	4.0	3.0	3.0
4460	60M太陽1901_12049	3120	20210	60M太陽1901_05046	13790	4.0	4.0	4.0	4.0
