usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker2	worker3	worker4
17300	PM55_00131	10090	6560	PM41_00411	4240	4.0	4.0	4.0	3.0
3780	PM11_00303	1860	16620	PM31_00197	10170	4.0	4.0	4.0	2.0
37580	PM21_00195	21660	41880	PM21_00535	27350	4.0	4.0	4.0	3.0
26610	PM11_00798	17620	7000	PM41_00785	4010	4.0	4.0	4.0	2.0
4130	PM11_00897	2500	27650	PM11_00015	16500	4.0	4.0	4.0	3.0
10200	PM21_00088	6140	4850	PM41_00195	2750	4.0	4.0	4.0	2.0
23740	PM31_00553	14650	1680	PM11_00198	1030	4.0	4.0	4.0	4.0
12490	PM21_00708	6840	54850	PM13_00038	35070	4.0	4.0	4.0	1.0
16290	PM31_00378	10370	10040	PM51_00600	5690	4.0	4.0	4.0	3.0
4880	PM11_00147	3380	50970	PM21_00723	30890	4.0	4.0	4.0	3.0
26770	PM35_00085	14920	23890	PM31_00439	15210	4.0	4.0	4.0	1.0
79670	PM33_00027	52570	12230	PM21_00549	7830	4.0	4.0	4.0	2.0
3000	PM31_00742	1470	30830	PM51_00187	16800	4.0	4.0	4.0	2.0
33190	PM55_00044	19190	128060	PM25_00051	77900	4.0	4.0	4.0	3.0
11980	PM11_00897	7720	5480	PM11_00473	3460	4.0	4.0	4.0	3.0
70640	PM51_00490	42370	5400	PM31_00069	2960	4.0	4.0	4.0	3.0
9030	PM11_00270	5340	9850	PM11_00269	5730	4.0	4.0	4.0	2.0
22960	PM15_00164	13220	24120	PM51_00345	13450	4.0	4.0	4.0	3.0
21190	PM51_00187	11650	2990	PM21_00532	1780	4.0	4.0	4.0	4.0
10540	PM21_00549	6720	89690	PM11_00798	59050	4.0	4.0	4.0	4.0
