usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker2	worker3	worker4
35090	60M太陽1895_09002	23860	7020	60M国民1888_24008	4540	3.0	4.0	3.0	2.0
3790	60M女雑1894_37013	2640	139040	60M太陽1909_05007	96800	2.0	2.0	2.0	3.0
177170	60M太陽1901_05053	120590	74020	60M太陽1917_04015	48230	3.0	2.0	3.0	4.0
11050	60M太陽1909_14008	7070	52450	60M太陽1895_04052	35760	2.0	2.0	3.0	3.0
8130	60M明六1874_06001	5490	73110	60M太陽1895_05045	49040	3.0	4.0	3.0	3.0
109840	60M太陽1895_03036	74730	2860	60M国民1888_19019	1910	3.0	4.0	2.0	2.0
34760	60M太陽1895_09002	23630	61970	60M太陽1901_10009	42210	3.0	2.0	3.0	4.0
27600	60M太陽1901_12014	18550	5280	60M太陽1909_08052	3330	1.0	2.0	2.0	2.0
30810	60M国民1888_15002	21240	53120	60M太陽1895_04052	36250	1.0	4.0	2.0	3.0
154800	60M太陽1895_10055	104740	72180	60M太陽1917_04015	47020	3.0	4.0	3.0	4.0
1230	60M太陽1925_03074	950	1620	60M国民1887_10026	1150	1.0	2.0	2.0	2.0
60750	60M太陽1895_07006	39110	13530	60M太陽1909_11023	9400	2.0	2.0	3.0	3.0
20000	60M太陽1925_05067	13780	4540	60M国民1887_05006	2940	3.0	4.0	3.0	2.0
86860	60M太陽1901_08053	59050	640	60M太陽1895_09022	420	3.0	4.0	3.0	4.0
950	60M国民1888_20028	650	68490	60M女雑1895_04023	45860	1.0	1.0	2.0	2.0
10140	60M明六1875_33004	6550	7050	60M国民1888_24008	4560	3.0	4.0	3.0	4.0
9180	60M国民1888_24008	5960	22390	60M女雑1895_02017	14660	2.0	2.0	3.0	1.0
7070	60M太陽1895_03058	4740	60110	60M太陽1895_05058	42470	2.0	2.0	3.0	3.0
13520	60M女雑1895_11002	9050	1740	60M国民1887_07006	1140	2.0	2.0	4.0	3.0
16060	60M太陽1901_09011	11310	37780	60M太陽1917_08033	25290	2.0	4.0	4.0	3.0
