usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker2	worker3	worker4
151140	60M太陽1917_01035	102710	48480	PM41_00503	28520	3.0	4.0	4.0	3.0
8150	60M女雑1894_43011	5230	54300	PM51_00527	33260	3.0	4.0	4.0	3.0
85910	60M太陽1925_02024	55440	2240	PM11_01163	1390	2.0	4.0	4.0	3.0
3320	60M太陽1925_01113	2170	4530	PM41_00443	2920	3.0	4.0	4.0	3.0
24150	60M太陽1895_11012	16590	5610	PM11_00133	3540	3.0	4.0	4.0	2.0
21770	60M婦倶1925_12033	14530	33780	PM41_00014	20730	2.0	4.0	4.0	2.0
33020	60M太陽1901_08031	23660	11730	PM51_01247	7340	2.0	3.0	4.0	4.0
4940	60M太陽1895_07041	3450	39490	PM31_00336	21710	2.0	3.0	4.0	3.0
22350	60M太陽1925_04097	14770	26400	PM21_01277	14670	2.0	4.0	4.0	2.0
18120	60M太陽1925_02052	12460	19710	PM15_00086	12210	2.0	4.0	3.0	2.0
33790	60M太陽1925_12072	22520	430	PM11_01136	200	2.0	4.0	4.0	4.0
31300	60M婦倶1925_03072	20570	63760	PM45_00111	37750	3.0	4.0	4.0	4.0
5930	60M太陽1901_03023	4220	19740	PM31_00088	11900	4.0	4.0	4.0	4.0
22550	60M太陽1901_08036	15010	36520	PM45_00041	21070	2.0	4.0	4.0	3.0
26860	60M太陽1909_06040	18150	20080	PM12_00083	10850	2.0	3.0	3.0	2.0
142220	60M太陽1917_01035	96590	16600	PM31_00820	9940	3.0	4.0	4.0	3.0
15830	60M太陽1895_08014	10740	47910	PM45_00121	27440	3.0	4.0	4.0	4.0
6040	60M太陽1925_04077	3800	6160	PM51_00778	3620	2.0	3.0	4.0	3.0
27450	60M太陽1925_02057	18420	2020	PM51_01452	1290	2.0	3.0	3.0	3.0
27090	60M太陽1895_01059	18480	3740	PM41_00720	2280	4.0	4.0	4.0	2.0
