usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker2	worker3	worker4
7930	60M太陽1925_11062	5220	510	60M婦倶1925_03102	350	3.0	4.0	4.0	3.0
23200	60M女世1909_03020	16090	490	60M太陽1895_06012	330	2.0	3.0	3.0	2.0
105630	60M太陽1901_13020	73110	3930	60M太陽1925_04097	2650	2.0	4.0	4.0	3.0
28330	60M太陽1925_12091	19140	90870	60M太陽1901_12040	60130	2.0	3.0	3.0	2.0
52510	60M太陽1925_11080	36000	19400	60M太陽1925_04077	12720	2.0	3.0	3.0	3.0
2780	60M太陽1901_07000	2010	5420	60M国民1888_23014	3760	2.0	4.0	4.0	3.0
7080	60M太陽1901_01047	4720	111850	60M太陽1901_02012	76160	3.0	4.0	4.0	4.0
101690	60M太陽1901_10034	68690	35280	60M女世1909_08028	22750	2.0	4.0	3.0	3.0
1130	60M太陽1895_02050	790	20	60M婦倶1925_12048	20	2.0	4.0	2.0	3.0
7570	60M太陽1925_12012	4980	24370	60M太陽1895_01059	16560	2.0	2.0	3.0	4.0
150	60M太陽1917_08008	100	47800	60M太陽1917_12006	31640	2.0	2.0	3.0	3.0
23080	60M太陽1895_01059	15690	2490	60M太陽1895_04045	1720	2.0	4.0	4.0	3.0
11760	60M太陽1901_01047	8000	21270	60M太陽1925_01021	14130	4.0	4.0	4.0	3.0
900	60M婦倶1925_12187	590	183290	60M太陽1895_11024	130460	2.0	4.0	4.0	3.0
69080	60M太陽1917_09031	45160	42280	60M太陽1925_11050	29560	2.0	2.0	3.0	2.0
66470	60M太陽1917_02021	42870	7160	60M太陽1925_04077	4560	2.0	2.0	3.0	3.0
10360	60M国民1888_32017	6920	99690	60M太陽1901_09040	67610	2.0	4.0	3.0	4.0
3910	60M太陽1909_16033	2480	20240	60M太陽1895_01059	13670	3.0	4.0	4.0	4.0
25060	60M太陽1925_09057	16160	187870	60M太陽1895_11024	133610	2.0	2.0	3.0	3.0
19450	60M婦倶1925_03065	13450	990	60M婦倶1925_03108	670	4.0	4.0	4.0	4.0
