usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker2	worker3	worker4
6740	PM32_00019	4180	10840	PM21_00604	6250	4.0	4.0	4.0	4.0
19150	PM45_00045	10910	18650	PM15_00086	11530	4.0	4.0	4.0	4.0
1210	PM51_01452	780	11490	PM24_00015	7500	2.0	4.0	4.0	3.0
3420	PM21_00037	2060	14490	PM26_00003	9010	3.0	4.0	4.0	3.0
34210	PM41_00721	20700	41950	PM25_00239	23530	3.0	4.0	4.0	2.0
13220	PM42_00028	8930	340	PM51_01080	200	2.0	4.0	4.0	3.0
2790	PM51_00739	1670	41270	PM45_00121	23650	3.0	4.0	4.0	3.0
9690	PM11_00454	5720	42170	PM41_00720	25080	3.0	4.0	4.0	3.0
12960	PM31_00350	7380	46900	PM41_00014	28650	3.0	4.0	4.0	3.0
23770	PM41_00376	16360	1030	PM45_00134	510	2.0	4.0	4.0	3.0
8810	PM31_00375	5540	15360	PM35_00091	9180	3.0	4.0	4.0	2.0
55370	PM41_00768	32490	35490	PM35_00198	20890	3.0	4.0	4.0	3.0
36690	PM31_00731	22960	34690	PM11_00080	21670	4.0	4.0	4.0	4.0
19690	PM51_00122	11410	15820	PM51_00030	8860	4.0	4.0	4.0	3.0
57020	PM21_01051	33490	790	PM41_00687	470	3.0	4.0	4.0	2.0
34540	PM21_01490	21340	32340	PM11_00234	20100	3.0	4.0	4.0	3.0
39310	PM21_00841	24590	13990	PM11_00465	8670	2.0	4.0	4.0	3.0
5210	PM51_00297	3170	40620	PM41_00104	25920	2.0	4.0	4.0	3.0
56650	PM21_01409	31430	1590	PM31_00888	940	2.0	4.0	4.0	3.0
79490	PM51_00848	48010	33760	PM15_00096	20490	2.0	4.0	4.0	3.0
