usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
50420	60M太陽1917_12011	33750	4740	PM11_00641	2680	2.0	3.0
273870	60M太陽1917_03030	183690	10210	PM21_00459	6830	3.0	4.0
238230	60M太陽1917_03030	159540	8860	PM36_00007	5360	4.0	3.0
32110	60M太陽1901_10040	22000	53150	PM25_00130	33340	2.0	3.0
153950	60M太陽1895_10055	104090	27390	PM41_00481	16960	2.0	2.0
18050	60M太陽1925_02039	13220	70390	PM25_00130	44450	2.0	3.0
7820	60M太陽1895_01017	5300	1210	PM25_00187	780	3.0	3.0
63440	60M太陽1901_03041	41140	5800	PM21_00207	3860	4.0	3.0
3520	60M国民1887_03004	2450	21440	PM31_00230	12510	3.0	2.0
15440	60M太陽1917_02020	10450	57200	PM25_00130	36060	2.0	2.0
15500	60M太陽1917_01017	10100	5610	PM25_00130	3390	2.0	3.0
18150	60M太陽1909_04004	12040	36560	PM45_00110	18910	4.0	4.0
50220	60M太陽1895_03011	34870	1500	PM11_00133	1030	4.0	3.0
20590	60M女雑1894_39028	13760	6930	PM33_00004	4590	4.0	3.0
134080	60M太陽1925_05030	89510	18510	PM21_00708	10310	4.0	3.0
22970	60M太陽1895_01009	15350	21090	PM51_00696	14000	3.0	3.0
60790	60M太陽1895_10052	39950	33430	PM42_00035	23570	4.0	4.0
14340	60M太陽1909_05017	10110	24010	PM25_00130	15160	2.0	3.0
70800	60M太陽1901_13039	47710	93940	PM41_00709	58960	2.0	3.0
78430	60M太陽1901_08053	53150	16480	PM15_00187	10530	2.0	3.0
