usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
8540	60M太陽1925_10034	6270	36460	60M太陽1909_05003	24390	4.0	4.0
34790	60M太陽1909_16010	23580	1580	60M太陽1917_02006	1100	3.0	4.0
71870	60M太陽1901_04006	48880	7990	60M太陽1909_13009	5660	4.0	4.0
70450	60M太陽1901_03059	49060	14110	60M太陽1901_08016	9160	4.0	4.0
32200	60M太陽1925_09028	22770	33260	60M太陽1901_10040	22880	4.0	3.0
31620	60M国民1887_10002	21150	7210	60M東洋1882_14010	4760	2.0	2.0
59030	60M太陽1895_05058	41690	30670	60M太陽1925_04010	21550	3.0	3.0
5800	60M太陽1925_12010	3680	6590	60M太陽1925_07065	4510	4.0	4.0
20060	60M太陽1925_12039	13820	51810	60M太陽1917_02006	34750	4.0	4.0
90080	60M太陽1901_07049	61270	65290	60M太陽1917_05006	43220	4.0	4.0
74540	60M太陽1909_08063	50060	21360	60M太陽1917_06025	14550	2.0	2.0
55360	60M太陽1917_12024	37190	41490	60M太陽1895_03058	28060	2.0	2.0
219320	60M太陽1895_10055	151080	17110	60M太陽1925_01089	11620	3.0	3.0
20740	60M太陽1925_01042	14050	16800	60M太陽1925_01042	11320	4.0	4.0
32730	60M太陽1925_09028	23140	22260	60M太陽1917_08027	14770	4.0	3.0
9350	60M太陽1895_07020	6450	7080	60M太陽1901_02042	4900	4.0	4.0
120490	60M太陽1895_06041	83010	48960	60M太陽1917_04006	33250	4.0	4.0
24910	60M太陽1925_04010	17480	10240	60M太陽1901_13002	7120	3.0	3.0
82280	60M太陽1925_03017	55780	28440	60M太陽1925_13015	18890	3.0	3.0
49440	60M太陽1901_14034	34670	37340	60M太陽1917_10028	25780	4.0	4.0
