usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
3750	PM13_00022	2270	6620	PM51_00491	4240	4.0	3.0
91840	PM21_00502	58820	23050	PM31_00483	14040	2.0	3.0
4400	PM43_00051	2560	21530	PM41_00442	12040	4.0	3.0
5820	PM25_00187	3630	29090	PM21_00195	16640	3.0	2.0
32730	PM41_00481	20410	58840	PM11_00545	34620	2.0	4.0
30340	PM11_01127	18260	94510	PM31_00552	55040	4.0	3.0
38490	PM15_00171	23020	22820	PM25_00114	14160	2.0	3.0
22580	PM25_00129	12820	23020	PM11_01198	15500	2.0	3.0
12980	PM31_00018	8590	53830	PM51_00491	33750	3.0	4.0
64720	PM25_00130	40800	33520	PM25_00187	20990	2.0	3.0
64520	PM25_00130	40660	5420	PM25_00130	3270	4.0	3.0
4050	PM51_00123	2690	19910	PM25_00114	12230	3.0	2.0
360	PM25_00130	230	62360	PM31_00177	37630	4.0	1.0
6200	PM51_01080	3790	18660	PM35_00151	10390	4.0	4.0
62020	PM21_00644	35540	31090	PM25_00114	19310	3.0	2.0
36660	PM11_01127	21940	14270	PM21_00195	8300	3.0	3.0
15550	PM25_00012	9420	12400	PM51_01451	6930	4.0	3.0
2790	PM21_00207	1790	30730	PM25_00114	19120	2.0	4.0
22240	PM25_00130	13950	45030	PM25_00117	24220	2.0	3.0
20020	PM25_00114	12300	640	PM21_00207	440	4.0	4.0
