usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker2	worker3	worker4
4140	60M東洋1882_14008	2820	31640	PM31_00303	20330	3	4	4	3
107050	60M太陽1925_01087	75270	13380	PM31_00303	8440	3	4	4	3
49440	60M女世1909_05017	34010	35720	PM21_00984	20960	3	4	4	3
95290	60M太陽1901_01060	65440	35240	PM23_00003	22370	3	4	4	4
24160	60M太陽1901_02012	16190	72660	PM41_00003	42740	2	1	2	2
12920	60M東洋1882_09002	7610	33020	PM21_00128	20350	2	1	2	2
4780	60M太陽1909_08052	3000	13470	PM31_00514	8280	4	4	4	3
15590	60M東洋1882_09011	10070	41100	PM12_00072	26560	2	1	2	2
54880	60M太陽1917_01014	36820	9740	PM16_00020	5980	4	4	4	3
240	60M太陽1917_05012	170	42570	PM21_00128	26620	3	4	4	後者の教授が読みとれませんでした
209280	60M太陽1895_09059	144490	22450	PM44_00001	13310	2	1	2	1
94440	60M太陽1901_09022	66330	27890	PM31_00303	17860	2	4	2	1
58040	60M太陽1909_10045	40620	3030	PM31_00101	1910	4	4	4	4
310	60M太陽1925_10071	200	2590	PM43_00039	1570	4	4	4	4
77640	60M太陽1917_08010	54160	320	PM31_00241	220	3	4	4	4
24660	60M太陽1909_11050	16130	47610	PM21_00163	29780	4	4	4	3
25430	60M太陽1917_13017	16890	5410	PM16_00009	3230	3	4	4	4
10790	60M女雑1894_31001	7290	34900	PM51_00212	20920	2	1	2	2
71670	60M太陽1901_13033	49110	5060	PM11_00658	3000	3	4	4	3
18780	60M女世1909_08009	12940	1960	PM21_00502	1170	2	1	2	2
