usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker2	worker3	worker4
12350	60M東洋1882_09011	7750	45190	60M太陽1909_14044	30940	2.0	4.0	2.0	2.0
980	60M国民1888_29015	670	99310	60M太陽1901_14027	65930	2.0	1.0	2.0	2.0
4440	60M太陽1901_12030	2840	103530	60M太陽1909_08063	68930	4.0	4.0	4.0	2.0
103490	60M太陽1925_01087	72790	132900	60M太陽1901_05053	90370	2.0	1.0	2.0	3.0
31790	60M太陽1895_01046	21420	28570	60M太陽1909_10053	18760	3.0	4.0	4.0	4.0
22900	60M太陽1909_14010	15600	56470	60M太陽1895_07049	38890	2.0	1.0	2.0	2.0
23000	60M太陽1917_08005	15610	280	60M太陽1917_14031	170	2.0	1.0	2.0	3.0
10270	60M太陽1909_13062	6950	25750	60M太陽1909_08018	17510	2.0	1.0	2.0	2.0
75070	60M太陽1909_10045	52650	690	60M太陽1925_13007	490	4.0	4.0	4.0	4.0
74280	60M太陽1925_01087	52120	41430	60M太陽1895_06055	29410	3.0	4.0	4.0	3.0
99370	60M太陽1925_05048	66310	38740	60M太陽1917_01014	25800	3.0	4.0	4.0	3.0
26470	60M太陽1925_14017	17400	17240	60M太陽1895_07004	11960	2.0	4.0	4.0	4.0
380	60M太陽1917_10029	250	81630	60M太陽1909_14010	55910	3.0	4.0	4.0	3.0
16700	60M太陽1901_13007	10500	13000	60M東洋1882_09011	8190	3.0	4.0	4.0	4.0
42480	60M太陽1925_14012	26600	9250	60M太陽1895_09046	6280	2.0	1.0	2.0	3.0
31280	60M太陽1909_12035	21700	59580	60M女世1909_05017	40970	2.0	4.0	2.0	4.0
24080	60M太陽1917_12003	16470	26880	60M太陽1925_01117	18340	2.0	1.0	2.0	3.0
46470	60M太陽1895_07049	31880	160	60M太陽1895_09042	110	4.0	4.0	4.0	4.0
130	60M婦倶1925_06104	100	106710	60M太陽1901_14039	72100	3.0	4.0	2.0	3.0
17350	60M太陽1925_07058	11250	114580	60M太陽1925_01087	80410	4.0	4.0	4.0	4.0
