usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
12660	60M女雑1895_06003	8350	36700	PM31_00108	22970	2.0	2.0
31950	60M太陽1925_01135	21140	1650	PM21_01490	980	4.0	3.0
10740	60M女世1909_16037	7050	18920	PM21_00619	12430	2.0	2.0
77710	60M太陽1901_03043	52950	50030	PM11_00194	30810	2.0	3.0
43070	60M太陽1925_01089	29250	52200	PM41_00612	30370	3.0	3.0
32450	60M女雑1895_08004	22090	27980	PM33_00004	18150	2.0	2.0
24700	60M太陽1895_01006	16720	820	PM11_00107	410	2.0	3.0
21870	60M太陽1909_08053	15200	27880	PM45_00088	15990	3.0	2.0
50910	60M太陽1925_14003	34950	10010	PM51_00071	6430	2.0	1.0
5720	60M太陽1895_02004	3720	15770	PM45_00129	8640	4.0	4.0
5770	60M太陽1925_01103	3580	48710	PM15_00096	29460	2.0	3.0
6770	60M国民1888_24007	4400	3760	PM21_00472	2360	2.0	2.0
12800	60M国民1887_06029	8550	8680	PM11_01012	4890	2.0	2.0
44260	60M太陽1895_11049	30390	26710	PM21_00619	17490	2.0	2.0
49560	60M国民1888_27003	33840	10870	PM21_00895	6580	2.0	3.0
4270	60M太陽1909_16035	2960	85000	PM25_00005	50690	2.0	2.0
520	60M太陽1925_11038	320	25540	PM51_00784	16290	2.0	4.0
6390	60M婦倶1925_06161	4340	15870	PM41_00436	10260	4.0	4.0
7120	60M太陽1909_06055	4980	18630	PM41_01322	11880	2.0	3.0
12760	60M太陽1925_04074	8120	18830	PM41_00661	9730	3.0	3.0
