usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
38440	60M太陽1925_02012	25870	3420	60M太陽1917_06017	2250	4.0	4.0
37330	60M太陽1925_07045	25760	59060	60M太陽1909_01001	39490	2.0	2.0
13530	60M太陽1917_05018	8780	10770	60M太陽1901_09038	7170	2.0	3.0
7780	60M婦倶1925_12029	5080	4090	60M太陽1901_04005	2870	2.0	3.0
24670	60M太陽1925_11080	16720	4930	60M太陽1909_16035	3440	3.0	2.0
23860	60M太陽1925_01119	16420	50830	60M太陽1895_01007	34450	4.0	3.0
4400	60M太陽1895_11026	2750	2490	60M太陽1925_01032	1490	2.0	2.0
94140	60M太陽1917_01039	64660	123650	60M太陽1901_10051	83410	2.0	2.0
41960	60M太陽1901_10051	27980	240	60M太陽1901_04036	180	2.0	3.0
74260	60M太陽1895_11008	49460	32840	60M太陽1925_03001	21730	2.0	3.0
2220	60M太陽1917_13042	1590	20290	60M太陽1917_13007	13480	2.0	4.0
125300	60M太陽1925_07050	85530	27400	60M女世1909_10023	18030	2.0	4.0
2000	60M太陽1909_10002	1270	950	60M太陽1925_11034	650	2.0	1.0
750	60M太陽1895_02048	490	75470	60M女雑1895_08004	51200	3.0	3.0
32690	60M太陽1901_04009	22080	15470	60M太陽1909_12045	9470	2.0	2.0
16020	60M太陽1925_04069	10920	3160	60M太陽1901_14029	2120	2.0	4.0
47680	60M太陽1917_04014	31130	44440	60M太陽1901_02004	30550	4.0	3.0
27470	60M太陽1917_05002	18790	45390	60M太陽1901_04003	30770	2.0	2.0
2330	60M国民1887_11009	1540	33990	60M太陽1917_03026	24270	2.0	3.0
92230	60M太陽1901_07035	61960	8930	60M太陽1909_16045	6130	3.0	3.0
