usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
18890	PM41_00166	11890	25020	PM33_00004	16210	2.0	1.0
29930	PM41_00599	19360	9380	PM21_01409	4780	2.0	4.0
3910	PM12_00041	2700	9550	PM11_00098	6310	3.0	3.0
33590	PM42_00115	20660	3630	PM51_01291	2040	2.0	2.0
29870	PM51_00424	21310	27050	PM51_00265	17220	2.0	3.0
13800	PM31_00645	8630	44490	PM11_00755	28140	2.0	3.0
37710	PM15_00304	21210	5190	PM11_00685	2790	3.0	3.0
4020	PM31_00275	2740	18920	PM55_00028	10730	2.0	2.0
14230	PM21_00183	8410	11100	PM41_01038	6490	2.0	2.0
8920	PM35_00046	5080	17450	PM11_00387	10350	2.0	1.0
4840	PM51_00714	3270	77150	PM21_00376	49290	3.0	1.0
26760	PM11_00879	16340	31650	PM41_00599	20460	3.0	3.0
64140	PM52_00001	43120	46610	PM12_00023	32710	3.0	3.0
10930	PM21_00685	6440	10200	PM31_00133	6680	「タイトル」だけでは、判断が難しい。	3.0
62120	PM41_00588	39820	560	PM12_00017	380	2.0	3.0
53620	PM25_00051	32060	80490	PM31_00736	51280	3.0	4.0
47000	PM21_01322	29430	60900	PM41_00503	35840	4.0	4.0
46710	PM15_00160	27840	7800	PM41_00038	4570	2.0	3.0
21820	PM52_00072	13090	18830	PM41_01322	11970	3.0	4.0
47910	PM21_00636	28920	57340	PM51_00848	34620	2.0	2.0
