usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker2	worker3	worker4
21970	60M太陽1909_04009	14710	49430	60M太陽1895_09025	33620	3.0	4.0	4.0	4.0
62970	60M明六1874_01001	43010	36000	60M太陽1917_10001	23900	1.0	4.0	2.0	3.0
79960	60M太陽1901_13031	53770	1750	60M国民1887_09007	1170	3.0	4.0	4.0	4.0
22460	60M太陽1909_04009	15060	46480	60M女世1909_08023	29960	3.0	4.0	4.0	3.0
8280	60M太陽1901_09043	5660	25310	60M太陽1909_04009	16980	3.0	4.0	4.0	3.0
60460	60M太陽1909_01041	42110	73080	60M太陽1925_02065	47560	3.0	4.0	4.0	2.0
16000	60M太陽1895_12018	10820	62750	60M太陽1909_14030	43790	2.0	4.0	4.0	3.0
27790	60M女世1909_13033	19150	28920	60M女世1909_13033	19880	4.0	4.0	4.0	4.0
21370	60M国民1887_05002	14620	70960	60M太陽1901_07035	47560	3.0	4.0	4.0	3.0
15870	60M太陽1901_03033	11200	1860	60M太陽1909_06036	1110	2.0	4.0	4.0	2.0
50720	60M女世1909_08023	32700	2300	60M太陽1917_13062	1580	3.0	4.0	4.0	3.0
23720	60M太陽1909_04009	15970	268230	60M婦倶1925_06198	181750	3.0	4.0	4.0	3.0
8710	60M婦倶1925_03157	5710	27600	60M太陽1895_07029	17350	2.0	4.0	4.0	2.0
29210	60M太陽1909_04009	19460	23760	60M婦倶1925_12120	15400	2.0	4.0	4.0	3.0
17460	60M婦倶1925_06045	11330	28080	60M女世1909_13033	19350	4.0	4.0	4.0	4.0
25950	60M女世1909_08019	18200	9510	60M太陽1901_09043	6570	3.0	4.0	4.0	4.0
1940	60M婦倶1925_12105	1330	10210	60M太陽1925_14007	6700	3.0	4.0	4.0	3.0
47410	60M太陽1925_12078	31080	4160	60M太陽1901_14030	2720	3.0	4.0	4.0	2.0
5200	60M女世1909_16006	3490	5570	60M女世1909_05023	3760	4.0	4.0	4.0	4.0
19930	60M太陽1909_13053	13250	26370	60M太陽1901_05029	17760	4.0	4.0	4.0	4.0
