usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker2	worker3	worker4
10410	PM11_00449	6520	35030	PM22_00090	21620	4.0	4.0	4.0	4.0
17550	PM22_00020	10280	72330	PM41_00300	45560	3.0	4.0	4.0	3.0
73070	PM21_00650	41330	75440	PM11_00394	45190	3.0	4.0	4.0	3.0
72150	PM41_00300	45450	9330	PM13_00008	5100	3.0	4.0	3.0	後者が果物を指すとは限らないため判断できません
6770	PM31_00518	3790	16560	PM21_00479	10290	3.0	4.0	4.0	3.0
84750	PM41_00300	53240	39150	PM41_00173	22780	3.0	4.0	4.0	3.0
8430	PM31_00518	4800	113000	PM11_00394	68610	3.0	4.0	3.0	3.0
11060	PM52_00072	6600	2800	PM11_01041	1770	1.0	1.0	1.0	2.0
85740	PM41_00300	53930	34750	PM22_00090	21460	4.0	4.0	4.0	4.0
76150	PM11_00394	45610	47350	PM44_00009	27210	4.0	4.0	4.0	3.0
9450	PM13_00008	5170	83860	PM41_00300	52720	1.0	4.0	3.0	2.0
54170	PM51_00054	32830	68220	PM41_00300	42950	2.0	4.0	3.0	2.0
33920	PM22_00090	20910	47000	PM31_00820	28450	4.0	4.0	4.0	3.0
86260	PM41_00300	54270	119930	PM11_00394	73330	4.0	4.0	4.0	3.0
1790	PM11_00647	1050	57130	PM44_00009	33170	4.0	4.0	3.0	3.0
72230	PM41_00300	45500	7700	PM11_00761	4570	1.0	2.0	1.0	1.0
81030	PM11_00394	48480	19710	PM21_01001	11960	4.0	4.0	4.0	4.0
100520	PM41_00796	51460	73560	PM41_00300	46340	2.0	4.0	4.0	2.0
81420	PM11_00394	48700	74770	PM41_00300	47100	3.0	4.0	4.0	3.0
16330	PM46_00026	10410	5620	PM21_00330	3430	2.0	4.0	2.0	1.0
