usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker2	worker3	worker4
16640	60M婦倶1925_06198	10910	30000	PM11_00591	17890	4.0	4.0	4.0	4.0
12780	60M太陽1925_09022	8580	6390	PM11_00370	3520	2.0	1.0	3.0	2.0
44060	60M女雑1894_37015	27090	3960	PM11_00419	2290	4.0	4.0	4.0	3.0
38570	60M太陽1925_11052	27340	12410	PM31_00286	7130	3.0	4.0	4.0	3.0
62150	60M太陽1925_12028	41970	6140	PM21_00272	3870	2.0	1.0	3.0	1.0
38610	60M女雑1894_34015	24130	12310	PM45_00122	6860	4.0	4.0	4.0	3.0
1270	60M太陽1909_11033	900	12600	PM51_00086	7550	4.0	4.0	4.0	3.0
10860	60M太陽1901_01037	7650	810	PM51_00454	430	3.0	4.0	4.0	3.0
46380	60M太陽1925_03010	30530	2800	PM21_00720	1910	4.0	4.0	4.0	3.0
8520	60M太陽1925_03062	5730	24020	PM45_00122	14060	2.0	1.0	3.0	1.0
58340	60M太陽1925_12069	41460	53330	PM51_00880	29470	4.0	4.0	4.0	3.0
3460	60M太陽1909_04033	2400	17530	PM36_00020	10880	2.0	1.0	3.0	前者は座る椅子とも地位の椅子とも取れるため、判断できません
35050	60M太陽1925_12077	23450	10480	PM21_00781	6490	4.0	4.0	4.0	4.0
41260	60M婦倶1925_06198	27270	94340	PM11_00201	54380	4.0	4.0	4.0	3.0
126140	60M太陽1925_02049	84480	52810	PM31_00148	30350	4.0	4.0	4.0	3.0
12600	60M太陽1925_12069	8990	29850	PM51_00612	17610	3.0	4.0	4.0	3.0
107100	60M太陽1909_01058	71220	53460	PM52_00073	34620	4.0	4.0	4.0	4.0
24490	60M女世1909_05013	15440	19310	PM51_00963	12890	3.0	4.0	4.0	3.0
111030	60M太陽1909_13032	73770	33240	PM11_00472	19570	4.0	4.0	4.0	4.0
2130	60M太陽1909_01058	1420	3570	PM21_00477	2250	2.0	1.0	3.0	1.0
