usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker2	worker3	worker4
36900	60M太陽1925_14051	25540	2680	60M国民1888_16006	1580	4.0	4.0	4.0	3.0
10030	60M太陽1917_04018	6520	13530	60M太陽1909_06004	8710	4.0	4.0	4.0	3.0
25330	60M女雑1895_02008	17250	212230	60M婦倶1925_12189	135630	3.0	4.0	4.0	4.0
42630	60M女雑1895_06013	28840	111210	60M太陽1909_10054	72510	2.0	1.0	3.0	2.0
30310	60M太陽1909_05043	20050	47520	60M太陽1909_08007	32050	2.0	1.0	3.0	2.0
9490	60M太陽1925_10047	6440	155480	60M太陽1901_14019	97590	4.0	4.0	4.0	4.0
770	60M国民1888_27027	520	23910	60M太陽1917_10042	16190	2.0	1.0	3.0	1.0
76160	60M太陽1901_14008	52080	25890	60M女世1909_05038	17510	2.0	1.0	3.0	2.0
41980	60M太陽1925_05022	27760	41380	60M婦倶1925_06198	27350	4.0	4.0	4.0	4.0
28360	60M太陽1901_03007	19190	17780	60M太陽1925_05022	11960	2.0	1.0	3.0	2.0
12920	60M太陽1895_11023	8960	5720	60M太陽1895_11026	3570	4.0	4.0	4.0	4.0
18000	60M太陽1925_13041	11990	2200	60M太陽1917_12021	1450	2.0	1.0	3.0	1.0
210	60M太陽1925_02061	130	26070	60M太陽1925_10017	17500	2.0	1.0	3.0	1.0
4120	60M太陽1909_11033	2790	26000	60M太陽1925_12028	17490	2.0	1.0	3.0	2.0
12790	60M太陽1895_07031	8670	4520	60M太陽1909_11033	3060	4.0	4.0	4.0	4.0
17300	60M太陽1925_04034	11590	124040	60M婦倶1925_06198	84020	4.0	4.0	4.0	3.0
54540	60M女雑1894_38019	33340	1570	60M婦倶1925_12096	990	１文目「返いす」であり、「椅子」ではない	返**いす**は、「返す」の送り仮名で「椅子」とは対象単語が異なるため。	「返す」の一部で「椅子」とは別語	前者の意味が読み取れませんでした
10810	60M女世1909_16039	7470	125540	60M太陽1925_01093	82810	4.0	4.0	4.0	4.0
14020	60M太陽1901_09001	9930	191350	60M太陽1909_13032	127110	2.0	1.0	3.0	1.0
5670	60M婦倶1925_12080	3760	15870	60M太陽1917_06005	10620	2.0	1.0	3.0	1.0
