usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker2	worker3	worker4
75360	PM11_00204	41550	55980	PM31_00004	32970	4.0	4.0	4.0	4.0
75010	PM51_00583	43390	52120	PM12_00059	34810	3.0	4.0	4.0	3.0
30660	PM31_00911	18050	2440	PM21_00272	1500	3.0	4.0	4.0	2.0
2020	PM51_00086	1170	8140	PM51_00086	4910	4.0	4.0	4.0	4.0
7810	PM21_00272	4950	14180	PM12_00044	9480	3.0	4.0	4.0	3.0
15820	PM51_00086	9520	18820	PM21_00814	11960	4.0	4.0	4.0	3.0
53960	PM51_00880	29790	9410	PM21_00272	5990	3.0	4.0	4.0	3.0
23510	PM35_00080	12140	36910	PM51_01498	23790	4.0	4.0	4.0	4.0
16260	PM11_00746	9560	4110	PM51_01018	2040	3.0	4.0	4.0	3.0
12810	PM51_00086	7690	35610	PM31_00004	20060	4.0	4.0	4.0	3.0
11900	PM11_01466	6690	47410	PM51_00491	29820	4.0	4.0	4.0	3.0
86000	PM51_00880	47150	89740	PM31_00943	45750	3.0	4.0	4.0	2.0
20260	PM31_00806	12010	22060	PM35_00080	11310	3.0	4.0	4.0	3.0
22950	PM35_00080	11820	8930	PM11_01466	4870	3.0	4.0	4.0	3.0
93040	PM11_00201	53640	10160	PM21_00272	6490	3.0	4.0	4.0	2.0
6380	PM51_00086	3890	1870	PM51_00086	1090	4.0	4.0	4.0	4.0
15010	PM51_00086	9020	1160	PM21_00272	740	3.0	4.0	4.0	3.0
16610	PM31_00621	10650	102760	PM21_00289	66180	3.0	4.0	4.0	2.0
5140	PM31_00871	3060	8430	PM41_00187	4930	3.0	4.0	4.0	2.0
38690	PM11_00631	25070	1630	PM41_00645	1050	4.0	4.0	4.0	3.0
