usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
18530	60M婦倶1925_03058	12510	24650	PM26_00015	15290	4.0	4.0
11660	60M太陽1901_09045	7970	5860	PM26_00011	3590	4.0	3.0
112460	60M太陽1925_01108	74630	31470	PM41_00387	20610	4.0	     1問前と同じ問題です
5790	60M太陽1925_02060	3940	37100	PM31_00126	22300	4.0	4.0
2700	60M女世1909_13046	1810	86090	PM11_00257	52990	4.0	4.0
22880	60M婦倶1925_06055	15330	17960	PM53_00039	11750	4.0	2.0
19540	60M太陽1901_09045	13310	14210	PM53_00039	9440	4.0	3.0
151540	60M太陽1925_01108	100930	7530	PM26_00011	4620	4.0	3.0
15360	60M婦倶1925_12031	10060	3040	PM56_00021	1990	4.0	4.0
24020	60M婦倶1925_06055	16110	28260	PM41_00663	18290	4.0	2.0
7450	60M太陽1925_09065	4710	4660	PM51_00196	3040	4.0	4.0
19280	60M太陽1925_05030	12850	38660	PM51_00420	21990	4.0	3.0
14900	60M婦倶1925_12154	10040	30740	PM21_00132	20380	4.0	3.0
109110	60M太陽1925_01108	72450	19270	PM26_00011	12000	4.0	4.0
126120	60M太陽1925_01108	83740	14520	PM53_00039	9660	4.0	3.0
33710	60M太陽1925_03058	22870	11670	PM42_00026	7160	3.0	3.0
124670	60M太陽1925_01108	82830	78570	PM41_00387	49880	4.0	4.0
89910	60M太陽1925_05030	59920	5570	PM31_00012	2950	4.0	3.0
123560	60M太陽1925_01108	82080	21250	PM56_00030	12770	4.0	3.0
40710	60M太陽1925_03058	27580	34580	PM41_00166	21760	4.0	3.0
