usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
143440	60M太陽1925_01108	95500	18190	60M女世1909_13046	12150	4.0	4.0
1610	60M東洋1882_11006	1080	5060	60M婦倶1925_03157	3270	4.0	3.0
123110	60M太陽1925_01108	81760	16730	60M太陽1901_09045	11330	4.0	4.0
143670	60M太陽1925_01108	95660	74630	60M太陽1925_05030	49720	4.0	3.0
118820	60M太陽1925_01108	78900	150230	60M太陽1925_01108	100010	4.0	3.0
126830	60M太陽1925_01108	84250	17840	60M婦倶1925_06052	12170	4.0	3.0
66420	60M太陽1925_01066	43050	40240	60M太陽1925_03058	27280	4.0	2.0
16580	60M婦倶1925_03053	10810	2630	60M婦倶1925_03058	1740	4.0	4.0
16270	60M太陽1901_09045	11010	112270	60M太陽1925_01108	74500	4.0	3.0
78110	60M太陽1925_01087	54830	34400	60M太陽1925_02060	22820	4.0	4.0
560	60M太陽1925_09065	380	13830	60M婦倶1925_06052	9340	4.0	3.0
149600	60M太陽1925_01108	99580	6080	60M婦倶1925_12029	3970	4.0	2.0
28230	60M婦倶1925_06056	18830	40930	60M太陽1901_10040	28300	4.0	2.0
150410	60M太陽1925_01108	100120	15090	60M婦倶1925_12154	10160	4.0	3.0
29150	60M婦倶1925_06056	19400	100	60M婦倶1925_03058	70	4.0	3.0
52870	60M太陽1925_03058	36180	119790	60M太陽1925_01108	79510	4.0	4.0
11780	60M婦倶1925_12031	7680	24420	60M婦倶1925_06056	16220	4.0	4.0
7350	60M婦倶1925_06056	4790	124030	60M太陽1925_01108	82390	4.0	3.0
12330	60M婦倶1925_03058	8280	40900	60M太陽1925_03058	27700	4.0	4.0
38500	60M太陽1925_02060	25450	2580	60M太陽1925_01090	1670	4.0	3.0
