usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
25800	PM36_00030	16050	30890	PM41_00467	16880	4.0	3.0
90860	PM35_00087	53620	1290	PM53_00039	830	3.0	2.0
38550	PM31_00095	25530	4180	PM46_00015	2530	4.0	4.0
27860	PM51_00157	17700	39860	PM11_00755	25200	4.0	3.0
25950	PM16_00020	15910	6030	PM35_00050	3450	4.0	2.0
12250	PM11_00279	7760	95430	PM41_00387	60560	4.0	3.0
37560	PM31_00374	24430	5960	PM51_00303	3670	4.0	4.0
860	PM36_00010	580	13460	PM25_00223	7680	3.0	1.0
4150	PM36_00018	2660	10560	PM41_00663	6770	4.0	3.0
42100	PM13_00019	26640	26840	PM31_00095	17760	4.0	3.0
83490	PM11_00257	51400	6680	PM33_00029	4020	4.0	3.0
65240	PM26_00021	40840	14930	PM53_00039	9910	4.0	4.0
7030	PM16_00020	4350	13020	PM41_00387	8530	4.0	4.0
16590	PM36_00020	10260	6580	PM16_00020	4040	4.0	2.0
36860	PM31_00374	23990	60620	PM11_00476	38750	4.0	3.0
7080	PM16_00020	4380	8810	PM53_00039	5700	4.0	4.0
33620	PM31_00467	21170	14050	PM25_00223	8020	3.0	1.0
33750	PM41_00166	21230	23150	PM26_00015	14320	4.0	4.0
14730	PM45_00250	7830	27360	PM11_00755	17660	3.0	2.0
16700	PM33_00029	10430	23640	PM16_00020	14540	4.0	4.0
