usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker2	worker3	worker4
10360	60M女世1909_05036	7000	27360	PM21_00110	16980	2.0	1.0	2.0	2.0
11560	60M女世1909_16017	7840	44730	PM53_00044	29110	2.0	1.0	3.0	3.0
101210	60M太陽1895_02049	69880	14340	PM11_00234	8890	1.0	1.0	1.0	3.0
37860	60M女世1909_16021	25050	26910	PM15_00164	15640	1.0	1.0	2.0	2.0
9160	60M国民1887_10017	6200	14960	PM52_00001	9840	1.0	1.0	1.0	3.0
2100	60M国民1888_21001	1440	43850	PM31_00683	27680	1.0	1.0	1.0	1.0
98430	60M太陽1925_10001	66790	52800	PM52_00002	35600	1.0	1.0	2.0	2.0
6410	60M太陽1925_11098	4220	86540	PM35_00087	51110	1.0	1.0	2.0	2.0
70070	60M太陽1917_14036	49820	39530	PM11_00370	25080	1.0	1.0	2.0	2.0
3590	60M国民1888_30022	2320	19150	PM11_00225	12050	1.0	1.0	2.0	3.0
11180	60M太陽1895_08014	7670	94500	PM45_00033	55780	1.0	1.0	2.0	3.0
5890	60M国民1888_14005	4100	10650	PM11_00234	6660	1.0	1.0	1.0	2.0
65190	60M婦倶1925_12032	44140	17690	PM31_00301	10180	1.0	1.0	2.0	2.0
17680	60M国民1888_30003	11930	27520	PM15_00164	15990	1.0	1.0	2.0	1.0
10180	60M明六1874_17003	6940	3590	PM21_00275	2140	1.0	1.0	1.0	3.0
40480	60M太陽1901_09013	27300	390	PM25_00297	200	1.0	1.0	2.0	3.0
28080	60M太陽1925_10027	19760	42300	PM11_00194	26060	1.0	1.0	2.0	2.0
28910	60M太陽1917_06034	19540	7290	PM21_00885	4360	1.0	1.0	2.0	2.0
18520	60M太陽1909_01028	12120	710	PM41_00612	330	1.0	1.0	2.0	2.0
13720	60M太陽1895_07009	9090	110300	PM31_00707	67490	1.0	1.0	1.0	1.0
