usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker2	worker3	worker4
60570	PM11_00454	35170	66440	PM51_00665	40990	3.0	4.0	4.0	4.0
36680	PM11_00070	23540	71780	PM45_00088	40780	3.0	4.0	4.0	3.0
54500	PM31_00136	34220	5710	PM41_00343	3650	4.0	4.0	4.0	4.0
14560	PM53_00033	9350	5880	PM21_00703	3440	3.0	4.0	4.0	2.0
4880	PM51_00292	3090	29450	PM51_00620	14020	2.0	4.0	4.0	2.0
40300	PM21_01099	23100	29630	PM21_00234	20680	3.0	4.0	4.0	3.0
38400	PM21_00584	25430	6060	PM11_01200	4100	3.0	4.0	4.0	2.0
4170	PM41_00010	2330	81060	PM31_00707	49820	2.0	4.0	4.0	4.0
38560	PM21_00584	25540	45290	PM51_00774	28110	3.0	4.0	4.0	3.0
18790	PM11_00638	10780	33440	PM15_00321	19710	3.0	4.0	4.0	4.0
12340	PM21_00085	7110	46160	PM35_00210	25920	3.0	4.0	2.0	2.0
37700	PM11_00744	21200	18750	PM21_01258	10820	3.0	4.0	4.0	3.0
49360	PM31_00524	31010	23750	PM51_00565	15590	4.0	4.0	4.0	3.0
11230	PM11_00993	7150	10610	PM31_00146	6470	4.0	4.0	4.0	2.0
11880	PM21_00739	6880	21720	PM11_00738	12140	4.0	4.0	4.0	3.0
17840	PM41_00555	10880	11650	PM21_01041	7220	3.0	4.0	4.0	3.0
18920	PM11_01198	12780	70850	PM12_00014	45970	2.0	4.0	2.0	3.0
870	PM31_00850	520	50080	PM41_00304	32060	1.0	1.0	2.0	1.0
16930	PM41_00078	9670	24420	PM55_00091	13530	3.0	4.0	4.0	2.0
71690	PM11_00002	46100	7230	PM55_00034	3740	4.0	4.0	4.0	3.0
