usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
3000	60M太陽1925_04005	1970	3890	PM12_00062	2410	4.0	4.0
10650	60M太陽1925_11089	7230	13320	PM51_00122	7780	3.0	3.0
7130	60M太陽1895_04058	4760	23480	PM31_00665	15210	4.0	4.0
121790	60M太陽1917_10039	85690	70460	PM41_00020	46120	4.0	3.0
62560	60M太陽1901_09050	42790	39400	PM42_00001	25420	4.0	4.0
58680	60M太陽1909_01018	39250	4590	PM21_00043	2760	4.0	4.0
159980	60M太陽1901_02029	107220	23160	PM31_00619	13180	4.0	3.0
3620	60M太陽1895_09046	2470	19130	PM11_01198	12920	3.0	3.0
25710	60M国民1888_17006	16670	67630	PM51_00410	37580	3.0	2.0
32840	60M太陽1895_07004	22670	13900	PM26_00021	8560	3.0	3.0
3250	60M婦倶1925_06038	2270	6550	PM41_00474	3940	4.0	4.0
46420	60M太陽1909_12035	32470	3010	PM11_00484	1990	3.0	4.0
56090	60M太陽1925_10010	41680	36860	PM22_00089	24090	3.0	3.0
121340	60M太陽1917_10039	85390	45190	PM31_00820	27470	3.0	3.0
51230	60M太陽1925_04012	35400	10910	PM11_00202	6600	3.0	3.0
65250	60M婦倶1925_06035	42840	17960	PM12_00100	11970	下段の文章は、文脈から「翌日」の意味が取りにくい。	3.0
102090	60M太陽1901_02056	71090	69800	PM31_00375	45300	3.0	3.0
2470	60M国民1888_14007	1570	59310	PM51_00162	36820	上段の文章は、途中で切れていて、「翌日」の意味が取りにくい。	2.0
3030	60M婦倶1925_06107	2170	20010	PM41_01107	12060	3.0	4.0
11530	60M女雑1895_10018	7930	10640	PM21_00435	6710	3.0	3.0
