usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
46940	60M太陽1925_14025	32680	18120	60M国民1888_29013	12110	3.0	4.0
3820	60M太陽1895_05045	2540	19970	60M女世1909_13045	13600	3.0	4.0
9550	60M女雑1894_45035	6430	16450	60M女雑1895_03027	11020	4.0	4.0
15350	60M太陽1925_14025	10620	52050	60M太陽1925_01089	35420	3.0	4.0
39530	60M太陽1895_09058	26150	23590	60M太陽1925_05017	15820	4.0	3.0
60780	60M太陽1925_01093	39970	164820	60M太陽1909_10027	114280	4.0	4.0
11350	60M女雑1895_10018	7790	20800	60M太陽1917_13050	14150	4.0	3.0
4880	60M太陽1901_14022	3570	25210	60M太陽1917_04032	17030	3.0	3.0
21230	60M太陽1925_14060	14220	77720	60M太陽1917_04022	55550	4.0	3.0
6400	60M太陽1909_02049	4320	6530	60M婦倶1925_12056	4460	4.0	3.0
47710	60M太陽1917_14031	30850	49690	60M太陽1895_04010	35140	4.0	4.0
19600	60M太陽1895_06025	13350	72020	60M太陽1901_09022	50820	4.0	4.0
13210	60M太陽1909_13048	8850	9030	60M太陽1895_06032	5890	3.0	3.0
64470	60M太陽1895_09045	43490	287150	60M婦倶1925_06198	194130	4.0	4.0
85090	60M太陽1909_14031	59710	116280	60M太陽1925_10069	78400	4.0	2.0
710	60M太陽1925_09043	480	15770	60M太陽1901_13021	10480	3.0	3.0
13750	60M東洋1882_11011	9170	66470	60M太陽1895_12020	46920	3.0	4.0
56370	60M太陽1917_13061	39100	77790	60M太陽1895_04007	55480	4.0	3.0
92560	60M婦倶1925_03062	64160	285340	60M太陽1909_13032	187530	3.0	3.0
136200	60M太陽1901_07019	94700	1990	60M女世1909_10028	1360	3.0	3.0
