usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
87570	PM52_00073	56360	51360	PM31_00375	33410	3.0	2.0
8450	PM41_00226	5660	2780	PM11_00798	1820	3.0	3.0
38530	PM42_00001	24880	14480	PM11_00531	9020	3.0	4.0
8980	PM22_00020	5130	52940	PM11_00303	30690	4.0	4.0
15110	PM35_00176	8500	14350	PM16_00015	9500	4.0	2.0
24020	PM15_00214	13490	97960	PM51_01204	62270	3.0	2.0
70210	PM41_00129	43360	7370	PM41_00040	4730	4.0	4.0
56340	PM21_01231	31950	26050	PM22_00020	15530	3.0	3.0
50570	PM41_00106	32940	30	PM42_00040	30	3.0	4.0
9650	PM51_00335	6250	71980	PM41_00182	46850	3.0	4.0
29110	PM11_00930	18830	81930	PM51_00059	47790	3.0	3.0
31360	PM31_00820	19180	44830	PM31_00546	28150	3.0	3.0
30280	PM11_00631	19510	77350	PM22_00020	46500	3.0	4.0
73290	PM25_00047	44840	3180	PM51_01132	2040	3.0	2.0
121350	PM12_00007	79180	13330	PM11_00070	8410	3.0	3.0
35430	PM15_00214	19930	19290	PM41_00773	12000	4.0	4.0
11660	PM51_00227	7210	33320	PM21_00622	20720	3.0	3.0
40130	PM41_00182	26310	34910	PM21_00512	18110	3.0	3.0
13060	PM41_00094	8370	37780	PM31_00028	24420	4.0	3.0
34290	PM11_00631	22160	6660	PM32_00013	4110	4.0	4.0
