usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
152100	60M太陽1917_08037	102300	39390	PM21_00722	22550	4.0	4.0
10760	60M太陽1895_11008	7160	46430	PM51_00579	28710	3.0	3.0
4800	60M太陽1909_10047	3320	34770	PM31_00020	21760	3.0	3.0
22380	60M太陽1895_01007	15360	30010	PM53_00074	19070	4.0	3.0
34970	60M太陽1901_03011	23650	1030	PM21_00952	710	2.0	3.0
7130	60M国民1888_21017	4700	18330	PM25_00297	10360	2.0	3.0
40040	60M太陽1901_05009	27110	35570	PM55_00008	20500	2.0	2.0
50770	60M太陽1917_14037	34030	10760	PM53_00074	6840	2.0	3.0
50330	60M太陽1895_01003	33910	45440	PM12_00062	28070	2.0	4.0
30000	60M太陽1909_14049	19460	34330	PM11_00658	20310	3.0	4.0
223580	60M太陽1925_04058	141050	5630	PM21_00682	3280	3.0	4.0
10980	60M国民1887_02018	7670	11320	PM53_00074	7200	3.0	3.0
201150	60M太陽1925_04058	126620	38410	PM11_00658	22770	3.0	4.0
7010	60M太陽1895_09058	3770	61880	PM11_00633	38560	2.0	4.0
24600	60M明六1874_01001	16750	9320	PM21_00539	5620	4.0	4.0
11040	60M国民1887_06029	7390	35210	PM31_00136	22300	4.0	3.0
1090	60M女世1909_13128	660	14350	PM51_00771	8420	3.0	3.0
1200	60M太陽1917_01011	740	49840	PM45_00121	28690	2.0	3.0
15600	60M国民1888_32017	10350	11650	PM11_00217	7410	3.0	3.0
14040	60M太陽1909_04060	9190	5470	PM41_00263	3390	4.0	4.0
