usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
57630	PM51_00041	32870	21120	PM35_00179	11400	3.0	4.0
39960	PM11_00489	22210	41390	PM51_00391	22910	3.0	2.0
3130	PM23_00017	1880	31790	PM31_00619	18010	3.0	4.0
13760	PM31_00187	8730	39310	PM31_00585	23420	3.0	3.0
32090	PM51_00356	18680	35160	PM22_00080	22240	4.0	4.0
48290	PM11_00267	32950	34630	PM11_00658	20480	2.0	3.0
860	PM31_00488	440	2140	PM31_00187	1240	4.0	4.0
29400	PM41_00588	18650	40790	PM11_00489	22600	3.0	4.0
41690	PM11_00489	23020	2880	PM41_00626	1810	2.0	2.0
12790	PM41_01379	7520	36550	PM51_01264	22750	3.0	4.0
7010	PM51_00570	4230	39870	PM45_00039	24030	2.0	4.0
38610	PM11_00658	22900	8860	PM21_01275	4800	3.0	3.0
44940	PM45_00039	26730	14310	PM21_00919	7990	2.0	4.0
64270	PM51_00768	38640	38980	PM35_00091	22730	3.0	3.0
2250	PM35_00194	1320	23950	PM41_00984	15300	3.0	3.0
12220	PM53_00074	7810	21080	PM31_00378	13420	2.0	3.0
62760	PM51_00275	33470	50530	PM41_00588	32300	3.0	2.0
9370	PM53_00074	5940	32770	PM51_00356	19140	3.0	4.0
21650	PM25_00297	12240	28700	PM21_00208	18040	3.0	4.0
8320	PM23_00017	5280	21950	PM31_00726	14060	3.0	2.0
