usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
41110	60M女雑1895_10017	28910	2020	60M太陽1909_01019	1350	4.0	3.0
36590	60M太陽1925_04005	24080	4720	60M太陽1925_13049	3440	2.0	3.0
10260	60M女雑1895_12001	6830	8570	60M太陽1895_02053	5590	3.0	2.0
2970	60M太陽1895_10019	1980	35750	60M太陽1917_13007	23790	3.0	4.0
35490	60M太陽1909_11001	23050	14280	60M太陽1917_04016	9560	4.0	2.0
4150	60M太陽1895_02053	2720	34830	60M太陽1895_07012	24040	3.0	4.0
41110	60M女雑1895_10017	28910	38720	60M太陽1895_08017	26030	3.0	3.0
1930	60M太陽1901_04013	1250	11640	60M太陽1909_05011	8140	2.0	2.0
7040	60M女世1909_05002	4640	155430	60M太陽1909_10027	107720	3.0	3.0
12800	60M婦倶1925_12020	8630	36590	60M太陽1925_04005	24080	2.0	2.0
5210	60M女雑1895_02004	3690	47140	60M太陽1909_11002	31090	2.0	3.0
4830	60M女雑1895_05023	3340	25150	60M太陽1909_08009	17840	3.0	4.0
40120	60M太陽1901_12037	26530	570	60M太陽1895_07014	380	3.0	3.0
91790	60M太陽1901_07049	62380	8610	60M太陽1895_08017	5930	3.0	4.0
42950	60M太陽1901_10039	29330	7570	60M太陽1917_06003	5080	3.0	4.0
25500	60M太陽1925_12061	16740	24420	60M太陽1925_14020	17250	3.0	2.0
52630	60M太陽1917_14025	34610	91790	60M太陽1901_07049	62380	3.0	4.0
35390	60M太陽1925_11040	24270	22100	60M太陽1925_11092	14520	4.0	4.0
133380	60M太陽1909_11033	90520	41770	60M太陽1901_08027	29660	3.0	2.0
70530	60M太陽1925_07045	48720	4150	60M太陽1895_02053	2720	2.0	4.0
