usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
26440	60M女世1909_13041	17880	28020	PM51_00169	18070	3.0	4.0
32640	60M国民1888_28005	21090	3380	PM51_00539	1600	1.0	2.0
19320	60M太陽1895_01038	12810	12620	PM32_00012	8470	1.0	2.0
1250	60M女世1909_03077	810	19180	PM11_00528	11730	1.0	1.0
21540	60M太陽1925_07033	13850	53060	PM42_00081	34500	1.0	2.0
3870	60M太陽1901_10017	2610	33760	PM21_00828	21730	1.0	3.0
12760	60M太陽1909_08022	8790	3450	PM21_00841	2040	1.0	2.0
114040	60M太陽1901_09023	79720	68330	PM41_00071	43820	4.0	3.0
58050	60M太陽1895_01002	39450	55620	PM51_00131	31330	1.0	2.0
1380	60M女世1909_10051	870	22580	PM51_01198	13780	1.0	2.0
1460	60M太陽1901_10017	1010	25330	PM21_00476	14390	1.0	2.0
1890	60M太陽1909_12019	1280	12490	PM51_01040	7960	1.0	2.0
9540	60M国民1887_11002	6330	51040	PM51_01328	30620	1.0	2.0
13470	60M太陽1901_07019	9340	13300	PM51_00423	8180	1.0	1.0
10130	60M婦倶1925_06037	6700	4370	PM11_01115	2930	1.0	1.0
13650	60M太陽1925_12074	9230	12490	PM51_00137	7150	4.0	3.0
57430	60M太陽1895_12012	38370	9270	PM41_00777	5850	1.0	2.0
42070	60M婦倶1925_06032	28920	550	PM12_00084	350	1.0	4.0
6060	60M太陽1925_12074	4040	3430	PM41_00038	1990	1.0	3.0
8080	60M国民1888_24010	5300	14060	PM21_00937	8390	1.0	2.0
