usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
9910	60M女世1909_08001	6580	32410	60M太陽1895_11020	21660	4.0	3.0
169190	60M太陽1909_01059	114970	6170	60M太陽1909_12047	4250	4.0	3.0
77030	60M太陽1925_13057	49820	9890	60M国民1888_31014	6510	3.0	3.0
29700	60M女雑1895_02003	19640	129990	60M婦倶1925_12189	83320	2.0	2.0
94130	60M太陽1925_05048	62940	21600	60M太陽1925_04042	14540	4.0	3.0
84470	60M太陽1917_06027	58290	18100	60M太陽1895_08013	12270	3.0	3.0
1820	60M太陽1901_04015	1260	64450	60M太陽1917_01015	42920	4.0	4.0
1220	60M女雑1894_45021	810	28600	60M太陽1909_10044	18430	4.0	2.0
17260	60M太陽1925_11037	12380	830	60M婦倶1925_12145	510	1.0	3.0
190110	60M太陽1901_03032	125240	16540	60M太陽1909_06032	10730	3.0	3.0
21410	60M太陽1909_10006	14180	31720	60M太陽1925_01117	21520	4.0	4.0
5910	60M国民1888_25013	4170	24790	60M太陽1917_14007	16900	4.0	3.0
16560	60M国民1888_33008	8780	65130	60M太陽1909_01059	44010	2.0	1.0
34770	60M太陽1895_02014	23040	16140	60M太陽1925_14044	10210	2.0	1.0
6650	60M太陽1925_14008	4530	98160	60M太陽1895_11023	69550	3.0	3.0
34460	60M女雑1894_44021	24460	7490	60M女世1909_08014	5030	3.0	3.0
15120	60M明六1875_26001	10190	43020	60M太陽1917_14012	28790	4.0	4.0
66780	60M太陽1909_04040	44980	16320	60M婦倶1925_12035	11430	1.0	3.0
32200	60M女世1909_03029	21830	8200	60M太陽1901_02028	5560	上段の「とても」は、「副詞」ではなく、「接続助詞」的な用法では？	1.0
46980	60M女世1909_08013	31930	8020	60M女世1909_05022	5280	3.0	3.0
