usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
22910	PM31_00022	13780	43750	PM12_00061	27410	4.0	4.0
43210	PM11_00493	23310	44940	PM22_00070	27680	1.0	2.0
5780	PM32_00058	3290	14060	PM21_01203	8380	4.0	3.0
51230	PM11_00493	27830	35040	PM33_00054	21650	1.0	1.0
6870	PM53_00033	4280	27440	PM31_00695	14950	3.0	3.0
62710	PM51_00490	37650	110350	PM21_01033	65130	4.0	3.0
6600	PM11_00593	4170	48060	PM11_00102	29620	4.0	4.0
8350	PM51_00836	5230	26950	PM11_00249	16730	4.0	3.0
12280	PM41_00715	7540	9230	PM11_00354	5580	1.0	2.0
60550	PM31_00695	34360	6210	PM51_00612	3590	3.0	2.0
2130	PM21_00696	1170	34160	PM51_00162	21360	4.0	4.0
81210	PM31_00253	50190	38930	PM22_00087	25300	4.0	3.0
55260	PM21_01297	31730	22910	PM51_00057	13200	4.0	4.0
44110	PM21_00722	25580	15700	PM46_00026	10040	3.0	4.0
2630	PM31_00882	1560	48350	PM51_01328	29020	4.0	3.0
22900	PM21_00081	14330	36310	PM31_00622	23130	3.0	2.0
24700	PM31_00254	15280	43660	PM51_00490	26260	1.0	2.0
39000	PM55_00130	22020	37520	PM11_00528	22810	4.0	3.0
78150	PM21_00786	47900	56210	PM51_00077	31050	4.0	4.0
8940	PM41_00358	5260	38910	PM41_00104	24820	1.0	2.0
