usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
18710	60M太陽1895_01006	12640	53340	60M太陽1917_06024	35500	3.0	2.0
3120	60M太陽1909_08060	2200	20310	60M太陽1901_09031	13650	2.0	2.0
60110	60M太陽1925_11015	40370	32200	60M太陽1925_01063	22350	4.0	4.0
45770	60M太陽1901_05003	29340	97760	60M太陽1901_13037	64550	3.0	3.0
129470	60M太陽1895_01019	88610	35870	60M太陽1909_13011	24070	3.0	4.0
45840	60M国民1888_36002	31070	52230	60M太陽1909_06010	35010	4.0	4.0
8120	60M太陽1917_10014	5450	6860	60M太陽1925_04001	4650	3.0	3.0
3270	60M国民1887_12017	2170	74780	60M太陽1909_04045	50920	4.0	4.0
1540	60M太陽1917_03033	1000	16510	60M太陽1895_12017	11360	4.0	3.0
1250	60M太陽1895_04033	840	16110	60M太陽1901_05021	10670	3.0	2.0
10590	60M太陽1909_11054	7310	120560	60M太陽1895_08062	82270	3.0	2.0
6440	60M女雑1895_09015	4250	22700	60M太陽1909_11023	15630	2.0	2.0
51670	60M太陽1901_12026	36450	45110	60M太陽1901_09054	30030	4.0	4.0
40740	60M太陽1909_11018	28250	8060	60M国民1887_13008	5160	4.0	4.0
3410	60M女雑1894_41003	2310	84830	60M太陽1901_03050	57670	3.0	4.0
16480	60M太陽1909_04001	10580	82310	60M太陽1917_14006	52860	3.0	2.0
12350	60M太陽1895_01000	8420	33870	60M太陽1925_10065	22130	3.0	4.0
70190	60M太陽1925_11043	46950	31700	60M太陽1917_01015	21220	4.0	4.0
95730	60M太陽1917_06025	64590	70670	60M太陽1909_12003	47850	4.0	4.0
23510	60M太陽1895_05011	15540	21410	60M国民1888_28003	14390	4.0	2.0
