usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
76690	80M文春1997_12018	48640	3330	80M文春1989_08043	2130	4.0	4.0
34620	70M文春1981_11065	22580	90330	80M文春1989_01033	60740	4.0	4.0
8600	80M文春2013_09070	5470	22970	80M文春2005_02016	15600	4.0	4.0
20700	80M文春1997_09032	13200	4110	70M文春1981_01147	2730	4.0	3.0
53530	80M文春2005_07108	34850	8840	80M文春1997_08021	5550	4.0	3.0
18480	80M文春2005_02022	11700	760	80M文春1989_08043	480	4.0	2.0
7370	80M文春1989_05096	4650	23880	80M文春1997_09032	15380	4.0	4.0
49400	80M文春1997_04056	32380	106180	70M文春1981_05039	70430	4.0	4.0
30400	80M文春2013_11026	18180	77970	80M文春2005_16016	49590	4.0	4.0
2770	80M文春1989_08043	1750	18380	PM41_00263	11630	下段の文章は、「遺憾」の意味ではありません。	1.0
129510	70M文春1981_02018	81330	188560	80M文春1989_03023	127880	4.0	4.0
2760	80M文春2005_09093	1900	136140	70M文春1981_11065	89820	4.0	4.0
56010	80M文春1989_07037	37830	160720	80M文春1989_09021	101650	4.0	3.0
58190	80M文春2005_07108	37910	11150	80M文春2005_15004	7730	4.0	4.0
22500	80M文春2005_02030	14880	99370	PM31_00283	58260	2.0	1.0
34300	70M文春1981_11065	22390	52760	70M文春1981_06041	35320	4.0	3.0
95950	80M文春2005_05076	63610	56050	80M文春2005_07108	36510	4.0	3.0
2230	70M文春1981_04038	1390	93580	70M文春1981_11065	61680	4.0	4.0
11350	80M文春1997_07028	7190	1470	80M文春1989_08043	940	4.0	2.0
26040	70M文春1981_04039	16500	191030	80M文春1997_09024	123900	下段の文章は、「遺憾」の意味かどうか判別しにくいです。	2.0
