usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
43710	60M太陽1909_02017	29520	18190	PM43_00039	11720	2.0	3.0
102750	60M太陽1909_02017	68880	3340	PM51_00277	2050	3.0	4.0
30110	60M太陽1901_08043	20920	16160	PM51_00840	9670	3.0	3.0
4100	60M婦倶1925_12050	2710	14870	PM51_00960	9010	3.0	2.0
133980	60M太陽1925_11080	90820	4910	PM21_00718	2800	4.0	2.0
4530	60M太陽1909_16010	3070	4720	PM51_01080	2970	4.0	3.0
46540	60M女世1909_16034	30780	16910	PM52_00059	10960	3.0	4.0
35090	60M太陽1909_02004	23400	3570	PM52_00079	2370	2.0	3.0
81360	60M婦倶1925_12020	53650	57080	PM31_00492	35640	3.0	4.0
164330	60M太陽1917_09051	111850	28650	PM31_00042	18530	4.0	4.0
96100	60M太陽1909_02017	64350	2060	PM31_00999	1220	1.0	1.0
88580	60M太陽1909_02017	59410	13510	PM21_00245	7620	3.0	3.0
13370	60M太陽1909_02004	8960	650	PM35_00179	390	4.0	3.0
32620	60M太陽1909_16044	21730	56950	PM31_00492	35560	4.0	2.0
16340	60M太陽1909_16047	9940	25290	PM41_00509	15640	3.0	3.0
7850	60M太陽1925_02039	5970	62080	PM11_00367	39380	3.0	4.0
19700	60M太陽1909_02058	13680	62040	PM31_00492	38830	3.0	3.0
4380	60M太陽1909_02004	3000	9620	PM41_00432	6110	3.0	2.0
54650	60M太陽1895_04044	35690	38030	PM11_00109	20920	3.0	3.0
13910	60M太陽1909_02004	9320	18800	PM21_00718	10610	3.0	3.0
