usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
1470	PM41_00571	1030	39920	PM31_00492	25180	4.0	4.0
26800	PM31_00492	16870	49140	PM52_00079	32070	3.0	3.0
33940	PM31_00492	21530	67920	PM12_00045	42760	3.0	3.0
27770	PM51_00846	16840	38010	PM11_01447	25410	2.0	2.0
69110	PM52_00078	43540	14320	PM51_00960	8630	3.0	2.0
23380	PM31_00493	15090	12970	PM12_00041	8920	4.0	3.0
15980	PM51_00840	9580	52910	PM11_00660	33730	4.0	3.0
17810	PM41_00987	10270	81180	PM45_00039	47900	3.0	4.0
37540	PM42_00081	24430	6110	PM11_00208	3930	2.0	3.0
56430	PM42_00027	36420	18510	PM43_00039	11950	2.0	4.0
15940	PM52_00079	10380	67200	PM22_00080	42810	4.0	4.0
17680	PM51_00840	10760	21240	PM32_00049	12680	2.0	4.0
25340	PM31_00492	15940	4250	PM51_00738	2560	2.0	2.0
3400	PM11_01115	2280	80740	PM31_00492	50400	2.0	3.0
11830	PM31_00483	7140	6220	PM51_00043	3700	2.0	4.0
29100	PM21_00748	19380	880	PM41_00539	520	3.0	3.0
68250	PM31_00492	42680	70190	PM31_00492	43880	4.0	3.0
64880	PM21_01335	40120	16300	PM31_00259	9770	4.0	3.0
31630	PM51_00846	19270	5670	PM11_00109	3120	3.0	2.0
18610	PM21_00549	11860	66930	PM41_00071	42800	1.0	1.0
