usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
10910	70M文春1965_04034	6810	20910	70M文春1965_04044	13170	4.0	4.0
4380	70M中公1957_06061	2950	111390	70M中公1933_11042	72150	3.0	4.0
34080	70M中公1957_10009	21700	50680	70M中公1933_08035	33170	1.0	2.0
43370	70M中公1957_09003	27060	10900	70M中公1933_08027	7810	1.0	3.0
1960	70M文春1973_04034	1330	106220	70M中公1941_01030	73250	1.0	2.0
105690	70M中公1941_01030	72940	530	70M文春1965_08121	360	1.0	3.0
44330	70M文春1965_03033	29230	41270	70M中公1957_06060	27680	4.0	4.0
88740	70M文春1973_09040	53960	106410	70M中公1949_12001	68380	2.0	2.0
43440	70M文春1965_03033	28600	48970	70M中公1949_04013	31070	4.0	4.0
4950	70M文春1973_10062	3110	11680	70M文春1965_04034	7330	4.0	3.0
138480	70M中公1933_11042	89420	114190	70M中公1941_10030	78070	2.0	4.0
6530	70M文春1965_01003	4200	41670	70M文春1973_16034	26970	4.0	3.0
13160	70M中公1933_09025	8620	15480	70M中公1957_01053	9810	4.0	3.0
147630	70M文春1973_07022	90650	12950	70M文春1973_10042	8230	1.0	2.0
4100	70M中公1933_11050	2810	134390	70M文春1973_07022	82660	1.0	3.0
105970	70M中公1941_01030	73120	96010	70M文春1973_09029	60300	3.0	4.0
5540	70M文春1973_07022	3400	7920	70M文春1973_09006	4840	4.0	3.0
49720	70M文春1965_06042	30430	38990	70M中公1957_03050	24050	1.0	3.0
32850	70M文春1973_18021	20770	86990	70M中公1941_09030	60190	2.0	2.0
71420	70M中公1957_09003	44610	22220	70M中公1933_12034	15020	2.0	2.0
