usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
20280	PM41_00152	10480	1110	PM21_01011	520	4.0	3.0
81820	PM41_00115	47420	12600	PM41_01379	7420	4.0	4.0
28750	PM21_01297	15800	33330	PM25_00098	18900	4.0	3.0
15620	PM51_00577	8590	13930	PM45_00072	7350	1.0	2.0
37590	PM41_00012	21620	48890	80M文春1997_13039	28770	1.0	1.0
30460	PM31_00762	19060	8030	PM51_00099	4700	3.0	2.0
8130	80M文春2013_13005	4760	85550	80M文春1989_01018	54010	3.0	3.0
22970	PM45_00120	13470	14980	80M文春2005_16073	9730	3.0	3.0
22890	PM32_00013	13830	5310	PM45_00067	2820	1.0	1.0
87910	PM51_00751	46890	27360	PM51_00508	15080	1.0	1.0
36840	80M文春1997_13035	23850	520	PM11_00171	330	2.0	3.0
49580	80M文春2013_03020	31660	2500	PM21_00264	1350	3.0	3.0
6850	PM41_00051	4160	84110	80M文春1997_14039	53730	4.0	3.0
48820	PM25_00296	27190	28370	80M文春2013_11045	18630	3.0	2.0
1770	PM51_00539	850	13760	PM21_00948	8480	4.0	4.0
68330	80M文春2005_13030	43410	48790	80M文春1989_09017	29890	1.0	2.0
55220	80M文春2005_05017	33770	44350	PM35_00210	24930	3.0	3.0
12190	80M文春2005_02091	7820	47200	70M文春1981_05016	31550	3.0	3.0
12940	PM11_00339	7640	11430	PM25_00040	6750	2.0	2.0
207740	70M文春1981_13084	136350	61100	PM41_00653	32220	4.0	4.0
