usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
41410	70M中公1957_02004	27090	73390	PM11_00378	46800	4.0	3.0
57850	70M中公1957_13017	37080	24600	PM41_00271	16160	3.0	2.0
21720	70M中公1933_12022	14600	62560	PM51_01204	39290	3.0	2.0
5160	70M中公1941_03019	3370	105070	70M文春1981_05017	62790	3.0	1.0
78920	70M文春1973_15016	53600	43680	PM21_00116	29620	3.0	2.0
49250	70M中公1941_11006	32680	17920	80M文春2005_09098	11710	4.0	3.0
36880	70M中公1957_13015	23660	69960	80M文春1997_08041	44200	3.0	2.0
18460	70M中公1933_07045	12570	51140	80M文春2013_04018	33110	4.0	4.0
57800	70M中公1933_07007	35950	15140	80M文春2013_11014	9920	3.0	2.0
27760	70M中公1933_09004	18450	72730	80M文春2005_12024	47040	3.0	1.0
63630	70M文春1965_12031	41670	28250	80M文春1997_09032	18240	3.0	2.0
86970	70M中公1933_03037	56670	22520	80M文春1989_11016	15240	3.0	2.0
139670	70M中公1957_08003	89970	17300	PM51_00071	11390	3.0	2.0
131930	70M中公1933_04048	87890	7440	80M文春2005_12046	5340	4.0	3.0
11020	70M中公1957_12032	6920	28700	80M文春2013_03042	18510	3.0	2.0
17850	70M中公1941_03006	11470	19460	80M文春1997_07016	12550	4.0	4.0
42880	70M中公1957_10009	27280	32360	PM21_00451	19310	4.0	2.0
10090	70M文春1965_11019	6430	56110	80M文春2013_03018	35870	3.0	3.0
4160	70M文春1973_07052	2700	19020	80M文春2005_05083	11880	4.0	3.0
22790	70M中公1957_06008	13870	7600	80M文春2013_08008	5030	4.0	3.0
