usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
22670	70M文春1965_08165	14800	120760	70M中公1933_12031	77330	3.0	1.0
5630	70M文春1965_07001	3820	58580	70M中公1933_11010	39450	3.0	2.0
133090	70M中公1933_07005	86380	13680	70M文春1965_06023	8620	4.0	4.0
173540	70M中公1933_08011	110160	64710	70M中公1949_06009	41940	4.0	3.0
36940	70M文春1973_04015	23050	76460	70M中公1933_11006	47630	4.0	4.0
86810	70M中公1957_02030	51960	30830	70M中公1941_01016	20220	3.0	3.0
730	70M中公1941_12009	500	128610	70M中公1941_05012	84490	4.0	3.0
184890	70M中公1957_11027	115540	97830	70M中公1957_09015	60870	4.0	4.0
3900	70M中公1957_13011	2190	6550	70M文春1965_12012	4090	4.0	3.0
73800	70M文春1965_09024	48770	95410	70M中公1933_12045	61490	3.0	2.0
56450	70M中公1957_09014	35620	4040	70M中公1957_10017	2520	3.0	2.0
1740	70M中公1957_08020	1100	46130	70M中公1957_10009	29190	3.0	2.0
109350	70M文春1973_07018	71570	30360	70M中公1933_07017	20490	3.0	4.0
61020	70M中公1933_03005	39270	39660	70M中公1933_05049	27140	3.0	3.0
35730	70M中公1957_11013	23130	27340	70M中公1933_10004	18310	4.0	4.0
51310	70M中公1941_12009	33740	38670	70M中公1933_07029	24860	4.0	3.0
23150	70M文春1973_06041	14500	9460	70M中公1933_04027	6280	3.0	1.0
46080	70M中公1957_08007	28320	63750	70M中公1941_06007	42020	3.0	2.0
19380	70M中公1933_07011	12540	29320	70M中公1957_13015	18890	3.0	3.0
1330	70M文春1965_07047	870	12790	70M文春1973_04035	8010	4.0	3.0
