usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
37210	80M文春1997_04026	24430	29920	80M文春1989_13019	19800	3.0	4.0
4480	80M文春2005_08076	2870	3080	70M文春1981_11064	2060	4.0	3.0
3990	80M文春2005_16046	2340	3160	80M文春2013_10054	2190	3.0	2.0
158390	70M文春1981_13079	101280	26450	80M文春2013_13084	16630	3.0	4.0
4600	80M文春2005_07119	2880	58740	70M文春1981_10014	37950	4.0	3.0
392910	80M文春2005_12099	263510	532560	80M文春1989_05043	361160	4.0	3.0
27430	80M文春1997_03022	15870	104110	80M文春1997_13015	67320	4.0	3.0
52030	70M文春1981_13060	32670	8060	PM12_00042	5420	4.0	3.0
30400	80M文春1997_13024	19220	18230	PM31_00454	12080	3.0	2.0
31590	PM21_01011	18310	256070	70M文春1981_02016	165060	4.0	1.0
26250	80M文春2005_13014	16220	78740	80M文春1997_04026	51940	3.0	2.0
24210	80M文春1989_12021	15150	83770	70M文春1981_10014	54650	4.0	2.0
15020	80M文春2005_03091	9810	33150	80M文春2013_03032	20530	3.0	2.0
43620	80M文春2013_02016	28420	91960	80M文春1997_05051	60240	3.0	2.0
345240	80M文春1997_01032	220390	34080	80M文春2005_16018	20870	4.0	4.0
192490	70M文春1981_12027	128930	17830	80M文春2013_10109	11280	4.0	2.0
82960	80M文春2005_05028	55400	23200	80M文春1997_04044	15430	3.0	3.0
9760	70M文春1981_13079	6150	323170	70M文春1981_13084	211000	3.0	2.0
3990	70M文春1981_06049	2510	2150	PM21_00535	1440	3.0	2.0
69220	PM21_00600	41260	152050	70M文春1981_09021	94030	3.0	3.0
