usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
1360	70M文春1965_10071	830	2210	80M文春2013_13049	1410	4.0	4.0
60	70M文春1965_04049	50	37580	PM21_00195	21660	4.0	3.0
75210	70M中公1933_01008	49000	19250	PM21_00195	11160	上段の文章は、前後の文脈から「優勝」の意味が取りにくい。	2.0
710	70M文春1965_09032	350	17330	80M文春1989_13047	10920	4.0	2.0
19820	70M中公1941_01027	12920	3380	PM25_00151	1770	4.0	4.0
45550	70M中公1941_11027	29820	40490	PM21_00535	26460	4.0	2.0
4170	70M文春1965_09032	2340	17560	80M文春2013_04023	11000	4.0	2.0
87080	70M中公1933_12044	56800	53060	80M文春2013_11018	33940	2.0	1.0
14630	70M中公1941_01027	9370	33770	PM41_01107	20140	4.0	2.0
2420	70M中公1933_11030	1570	27780	80M文春1997_09063	18030	4.0	4.0
56340	70M文春1973_06029	34400	89980	80M文春1997_13042	54300	4.0	2.0
34540	70M文春1965_05023	21260	6280	70M文春1981_09017	4220	2.0	1.0
43200	70M中公1957_05051	25980	38490	PM35_00103	23330	4.0	3.0
41600	70M中公1933_08026	27730	8850	80M文春1989_02047	5940	4.0	2.0
350	70M文春1965_10071	210	29940	PM51_00187	16290	4.0	2.0
44630	70M中公1941_04037	28180	107640	PM51_00848	64550	2.0	1.0
21740	70M中公1933_11029	13860	82060	PM51_00490	49070	4.0	4.0
34950	70M文春1965_05023	21510	88450	PM41_01383	49370	2.0	2.0
1720	70M文春1965_07032	1190	96550	70M文春1981_01033	60020	4.0	2.0
73000	70M文春1973_16022	43790	16010	80M文春2013_10004	9990	4.0	2.0
