usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
6940	70M文春1973_07025	4840	19770	70M中公1933_08026	13380	4.0	2.0
48200	70M中公1933_11020	34070	1940	70M文春1973_09049	1340	4.0	3.0
7370	70M文春1965_09005	4980	91720	70M文春1973_03047	60310	4.0	4.0
1880	70M文春1965_10071	1140	50660	70M文春1973_06029	30910	4.0	4.0
3490	70M文春1965_02043	2520	3000	70M文春1965_02043	2150	4.0	2.0
26080	70M中公1933_08026	17400	4100	70M中公1957_08049	2500	4.0	3.0
99950	70M文春1973_15064	65730	118270	70M中公1933_08017	76430	2.0	1.0
21610	70M文春1965_05023	12950	12560	70M中公1933_03028	8020	2.0	2.0
31320	70M文春1965_05023	19180	14860	70M中公1941_01027	9560	2.0	1.0
14630	70M中公1933_11020	10220	6000	70M文春1973_12018	3970	4.0	2.0
220	70M中公1957_14051	140	22180	70M中公1941_01027	14530	4.0	2.0
63740	70M文春1965_06053	40860	8090	70M文春1965_10071	5100	4.0	2.0
7430	70M文春1965_10055	4950	27050	70M中公1941_01027	17790	4.0	4.0
100080	70M文春1973_15064	65830	47720	70M中公1933_08026	31500	4.0	3.0
3190	70M文春1965_11032	1810	2270	70M中公1933_08026	1500	4.0	3.0
21280	70M文春1965_05023	12760	6220	70M文春1965_10026	3900	2.0	1.0
15090	70M中公1941_01027	9740	91860	70M文春1973_03047	60400	4.0	4.0
35580	70M文春1965_05023	21930	25200	70M中公1949_03009	16650	4.0	3.0
5020	70M文春1973_13027	3310	610	70M文春1973_09048	450	4.0	3.0
6820	70M文春1965_06047	4280	15150	70M文春1973_15064	9810	4.0	2.0
