usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
103910	80M文春1989_06044	65040	1530	PM45_00099	730	4.0	4.0
21740	PM11_00567	14000	16090	PM31_00197	9780	4.0	2.0
7110	80M文春1989_12050	4440	2950	80M文春2005_16025	1920	4.0	4.0
54790	70M文春1981_02042	36130	10820	PM21_00532	6320	4.0	3.0
11010	PM21_00088	6640	38720	PM11_00473	24630	4.0	2.0
23370	PM41_00695	13170	63300	80M文春2013_03023	40470	4.0	2.0
11210	80M文春1997_11008	6480	3310	PM41_00411	2220	4.0	4.0
10500	80M文春1997_13049	6910	9630	80M文春1989_01039	6110	4.0	3.0
19480	80M文春2013_08092	12990	80120	80M文春1997_13042	48100	4.0	3.0
5670	80M文春2005_16105	3730	6420	PM11_00270	3810	4.0	4.0
24810	PM15_00164	14330	84960	80M文春1989_11036	56290	4.0	3.0
800	80M文春2013_13006	410	109310	80M文春1989_13047	68980	4.0	4.0
5540	PM31_01419	3430	52580	80M文春2013_11025	32740	4.0	3.0
20510	PM21_01314	13170	42590	PM45_00099	24100	4.0	2.0
20	80M文春1997_05079	20	123180	PM41_01107	73080	上段の文章は、前後の文脈から「優勝」の意味が取りにくい。	3.0
18150	70M文春1981_13010	12110	3750	80M文春1989_02063	2530	4.0	2.0
128500	PM25_00051	78180	15950	80M文春2013_04023	9950	4.0	3.0
1070	PM31_01081	620	69370	80M文春2013_13049	44560	4.0	2.0
10460	80M文春2005_01064	6910	26830	80M文春2013_12018	17490	4.0	4.0
22590	PM11_00567	14540	83750	70M文春1981_10053	53880	4.0	2.0
