usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
1910	70M中公1957_08023	1280	10790	PM51_00225	6310	4.0	3.0
54040	70M中公1941_02015	36040	73240	80M文春1989_02064	45850	4.0	2.0
77270	70M文春1965_03029	50550	6070	PM51_00400	3940	4.0	2.0
114840	70M中公1957_06002	74150	12310	PM55_00250	7880	4.0	2.0
100100	70M中公1933_08009	67870	59700	80M文春1989_02083	36740	3.0	3.0
59310	70M中公1957_10035	39750	10370	PM51_00225	6080	4.0	3.0
82570	70M文春1965_03029	53940	58860	80M文春1989_12045	37320	4.0	3.0
84700	70M文春1965_03029	55380	24710	80M文春1997_04055	16360	4.0	3.0
43720	70M中公1957_05052	28600	167330	70M文春1981_06021	106630	4.0	3.0
13040	70M中公1941_07038	8280	146510	80M文春1989_10081	90490	4.0	3.0
68400	70M文春1965_11024	43800	40430	80M文春1997_03096	26720	4.0	2.0
40700	70M中公1957_05052	26740	50750	70M文春1981_04041	31930	4.0	3.0
39850	70M文春1965_10024	25560	30770	80M文春2013_07073	19470	4.0	3.0
75220	70M中公1957_10035	50370	146850	80M文春1989_10081	90690	4.0	3.0
45300	70M中公1933_12047	29130	18700	PM31_00762	11650	3.0	1.0
132370	70M中公1949_09014	87230	8760	PM31_00337	5490	4.0	4.0
30690	70M中公1933_05028	21030	67920	PM55_00132	40910	4.0	3.0
41600	70M中公1941_06010	27180	9940	70M文春1981_03065	6570	4.0	4.0
100520	70M中公1957_09052	63420	2030	PM21_00081	1260	3.0	2.0
130550	70M中公1933_08011	84020	37950	80M文春1997_08035	24950	4.0	2.0
