usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
49160	70M中公1957_05052	32170	45730	70M文春1973_15022	26840	4.0	2.0
77120	70M文春1965_03029	50450	17520	70M中公1957_11026	11510	4.0	2.0
76860	70M文春1965_03029	50270	135290	70M中公1941_10023	89370	4.0	3.0
15750	70M中公1957_11026	10360	61940	70M文春1965_11024	39560	4.0	3.0
63110	70M中公1957_10035	42270	62320	70M中公1957_10035	41750	3.0	3.0
36920	70M文春1973_06016	23160	110570	70M文春1965_09066	75200	3.0	1.0
4480	70M文春1973_18075	2910	65840	70M中公1941_02003	44250	4.0	どちらの意味もうまく読み取れませんでした
67980	70M中公1957_10035	45580	57660	70M中公1957_10035	38620	3.0	2.0
17860	70M中公1933_11020	12450	14280	70M中公1957_10035	9360	3.0	2.0
8930	70M中公1933_01033	6070	131090	70M中公1933_08011	84280	3.0	3.0
12900	70M中公1941_07038	8210	70670	70M文春1965_11024	45250	4.0	4.0
112650	70M中公1957_06002	72780	25520	70M中公1933_12027	16520	2.0	3.0
19460	70M文春1973_04018	12570	30740	70M文春1973_18023	19770	3.0	3.0
30530	70M文春1973_10040	19720	63440	70M文春1965_11024	40600	4.0	4.0
62350	70M文春1965_11024	39840	44190	70M中公1957_05052	28920	3.0	2.0
1070	70M中公1933_06063	750	63610	70M文春1965_11024	40710	4.0	2.0
64100	70M文春1965_11024	41040	340630	70M中公1933_06068	223810	2.0	2.0
113760	70M中公1957_06002	73500	37480	70M文春1965_02028	24560	4.0	3.0
26000	70M中公1933_12047	16950	17820	70M中公1957_11026	11700	3.0	1.0
41430	70M中公1957_05052	27220	3760	70M中公1957_10035	2410	4.0	3.0
