usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
7530	80M文春2013_03074	4530	31240	PM11_00082	19510	3.0	4.0
189470	80M文春1997_11030	125480	65860	80M文春1989_03030	41360	4.0	3.0
8480	PM11_00082	5300	48930	80M文春1989_02118	30670	4.0	4.0
57450	70M文春1981_05023	38160	520	PM51_00400	340	4.0	3.0
38930	80M文春1997_05022	25140	47760	PM51_00112	29580	4.0	2.0
10180	80M文春1997_08062	6700	35420	80M文春1997_08035	23190	4.0	2.0
53300	PM25_00067	30970	109920	80M文春1989_03030	68800	4.0	2.0
34820	80M文春2005_13030	22180	9930	80M文春1989_10129	6540	2.0	1.0
2330	PM21_00081	1450	6430	PM11_00082	4040	4.0	4.0
2750	PM53_00005	1800	52140	PM25_00067	30250	4.0	3.0
7130	PM11_00082	4460	14640	80M文春1997_05028	9450	4.0	3.0
5560	80M文春1997_01053	3590	3240	PM11_00702	1840	3.0	2.0
8190	PM31_00337	5110	18740	80M文春1989_06026	11630	4.0	3.0
61430	80M文春1989_13052	36860	4590	PM11_00786	2700	4.0	2.0
44190	80M文春2013_11020	27770	44240	PM25_00067	25100	4.0	2.0
68260	PM25_00067	40250	52160	80M文春2013_03049	33130	4.0	3.0
147190	80M文春1997_11030	97370	74760	PM41_00115	43340	4.0	3.0
48380	80M文春1989_11032	31940	1050	70M文春1981_12037	790	4.0	3.0
36530	70M文春1981_10053	23100	4930	80M文春2005_05032	3250	4.0	3.0
72010	70M文春1981_04032	47090	4770	80M文春2005_15029	2960	4.0	2.0
