usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
390	70M中公1957_02011	280	18030	PM11_00454	10440	4.0	3.0
5610	70M中公1957_05054	3760	25720	80M文春1997_04024	16530	4.0	3.0
87700	70M中公1941_07029	59140	401370	80M文春2013_01129	246840	4.0	4.0
21840	70M文春1965_05036	14070	6380	80M文春2005_09163	4010	4.0	3.0
51800	70M文春1973_13037	33760	314190	70M文春1981_01016	203640	4.0	2.0
35070	70M中公1949_07009	22830	870360	80M文春2013_01129	541450	4.0	3.0
25090	70M文春1965_10050	15830	77870	80M文春2005_02018	51120	4.0	4.0
11780	70M文春1965_07007	7710	12280	PM41_00067	6420	3.0	2.0
36970	70M中公1933_10008	23780	29870	PM41_00075	18270	1.0	3.0
40810	70M中公1957_09052	25580	48910	PM21_01051	28740	2.0	2.0
72600	70M中公1957_12057	49080	407900	80M文春2013_01129	251130	4.0	3.0
219380	70M文春1973_13053	140570	6680	PM21_00256	4190	4.0	3.0
2320	70M中公1957_10047	1540	99510	80M文春1997_07019	65320	3.0	3.0
62190	70M文春1965_04019	40690	71330	80M文春2013_12062	46980	4.0	3.0
41950	70M中公1933_07024	26930	23210	80M文春1997_14037	15250	2.0	2.0
21910	70M中公1933_04022	14930	37240	PM25_00296	21080	4.0	3.0
89660	70M中公1933_07049	59510	40880	80M文春1989_02169	27310	3.0	4.0
114850	70M文春1973_09036	75170	11870	80M文春2005_11046	7210	4.0	3.0
1360	70M中公1933_12038	900	139150	70M文春1981_09029	87640	4.0	3.0
79160	70M文春1973_15065	50980	127730	80M文春1997_05055	82500	4.0	3.0
