usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
64460	70M中公1949_02013	43180	27540	70M中公1957_09011	17810	4.0	3.0
23270	70M中公1933_12038	15070	86280	70M中公1941_07029	58130	4.0	4.0
101050	70M中公1941_03013	65550	51010	70M中公1933_06022	33050	3.0	2.0
2420	70M中公1957_13039	1480	113280	70M文春1965_02035	74470	4.0	3.0
42830	70M中公1933_06070	29100	124960	70M中公1933_07031	78260	2.0	3.0
86490	70M中公1949_06016	56990	100630	70M中公1933_10008	65780	1.0	3.0
63540	70M中公1957_09028	41320	12980	70M中公1957_09052	7890	4.0	3.0
58240	70M中公1933_12013	38590	17390	70M文春1965_12007	10550	3.0	4.0
23570	70M中公1933_05044	16110	52890	70M文春1965_04064	35090	3.0	3.0
113120	70M中公1957_13016	66870	10850	70M中公1957_08012	7050	1.0	3.0
4420	70M文春1973_07026	2640	108270	70M文春1973_13037	70940	3.0	4.0
28140	70M中公1949_11004	17050	70690	70M文春1965_10050	44740	1.0	3.0
40550	70M中公1933_04055	27900	46590	70M中公1933_12038	30680	上段の文章は、文脈から「写真」の意味が取りにくい。	3.0
99950	70M文春1973_06048	66620	36300	70M中公1933_10037	22260	2.0	4.0
98350	70M中公1933_07049	65100	21030	70M文春1973_12035	13930	4.0	4.0
36710	70M中公1949_12014	23750	56830	70M文春1965_05035	36150	3.0	3.0
33210	70M中公1933_12038	21700	12730	70M中公1957_12004	8330	3.0	3.0
17710	70M文春1965_05022	11370	67770	70M中公1933_09023	48090	4.0	4.0
39300	70M中公1933_03016	27100	183060	70M文春1973_09029	115850	4.0	3.0
9460	70M中公1957_14007	5940	34170	70M文春1973_01019	21420	1.0	3.0
