usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
84180	80M文春1989_06014	53560	5920	PM25_00077	3080	3.0	4.0
14980	PM11_00387	8940	43440	PM15_00096	26300	4.0	4.0
4640	80M文春2013_08043	3000	9600	PM31_00375	6090	4.0	4.0
32750	80M文春2013_07073	20610	13540	80M文春2013_04021	9080	4.0	3.0
710	PM21_00519	370	639460	80M文春2013_01129	396180	3.0	2.0
2680	80M文春1989_02038	1580	427760	80M文春2013_01129	264160	3.0	3.0
53580	PM41_00773	32960	103060	80M文春2013_01129	62540	4.0	4.0
43530	PM11_00738	23790	32150	PM41_00653	16730	3.0	2.0
660	70M文春1981_03009	450	90960	80M文春1989_09043	57000	2.0	2.0
8810	PM51_00221	5950	47130	80M文春2005_02049	31050	4.0	3.0
3770	80M文春1989_06071	2450	124770	PM31_01073	66190	3.0	3.0
3920	80M文春1989_01037	2460	645470	80M文春2013_01129	400210	4.0	3.0
12450	80M文春2005_16007	7830	4620	80M文春2005_05005	2950	4.0	4.0
800	80M文春1997_09021	440	62790	80M文春2005_13026	41900	4.0	3.0
656840	80M文春2013_01129	407580	32810	PM51_01080	19930	4.0	2.0
2020	80M文春1997_07026	1310	65520	80M文春2005_11036	41400	4.0	2.0
56100	80M文春1989_03125	35050	3430	80M文春1989_11048	2320	3.0	3.0
77660	80M文春2005_02018	50980	31920	PM11_00489	17680	4.0	4.0
19120	PM31_00366	12010	51130	PM21_00472	30510	4.0	4.0
11640	PM31_00261	6740	86030	PM41_00115	49870	3.0	2.0
