usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
115700	70M中公1957_03023	75300	900	70M文春1981_13107	630	4.0	3.0
112460	70M文春1973_06041	72320	121970	80M文春1989_08023	79920	4.0	4.0
36980	70M中公1957_01012	24160	69010	70M文春1981_06039	42560	2.0	2.0
135700	70M中公1941_12024	89970	22650	70M文春1981_12037	15080	4.0	3.0
213090	70M中公1933_04056	145340	36830	70M文春1981_12020	24520	3.0	3.0
28360	70M中公1933_04031	19300	2860	80M文春2013_10106	1820	3.0	2.0
30430	70M中公1933_04031	20670	101250	70M文春1981_03038	62320	4.0	3.0
79840	70M中公1957_01068	55920	51650	PM21_00574	33030	2.0	2.0
4530	70M中公1949_12007	2820	1450	80M文春1997_10034	930	2.0	1.0
47710	70M中公1957_05005	29540	86360	70M文春1981_12016	56780	3.0	3.0
70440	70M文春1965_11024	45090	4300	80M文春1997_10041	2680	2.0	3.0
12130	70M文春1973_06039	7840	54670	PM25_00130	34340	2.0	2.0
1950	70M中公1941_06009	1390	21680	PM25_00130	13620	2.0	2.0
83770	70M文春1965_02021	56690	24010	PM25_00130	15160	2.0	2.0
88200	70M中公1957_06040	55880	85480	70M文春1981_12028	54060	3.0	3.0
91690	70M中公1957_06044	57960	28240	70M文春1981_12015	18150	3.0	3.0
81700	70M文春1973_13023	56490	17190	80M文春1997_10014	10850	4.0	3.0
106450	70M中公1933_02002	69250	44200	70M文春1981_12016	28740	3.0	3.0
7300	70M中公1941_04013	4740	30760	80M文春2013_02014	19230	4.0	4.0
71650	70M中公1933_10012	48730	1500	PM11_00133	1030	4.0	2.0
