usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
34090	70M中公1933_07009	21880	28670	70M文春1973_10020	19370	2.0	3.0
166970	70M中公1957_01013	105140	30460	70M中公1941_01013	20380	3.0	4.0
116850	70M文春1973_07016	75640	115150	70M中公1941_08025	75930	2.0	3.0
23250	70M中公1933_06063	15300	79170	70M文春1973_18032	51830	2.0	4.0
95950	70M中公1957_08020	60410	32760	70M中公1933_12008	22440	4.0	3.0
41280	70M中公1933_02010	27890	50040	70M文春1973_03044	33190	4.0	2.0
128000	70M中公1933_07020	87440	17130	70M中公1949_05008	11190	4.0	2.0
10740	70M中公1957_06040	6880	4760	70M中公1949_12007	2960	2.0	4.0
3840	70M中公1933_12050	2510	78170	70M中公1941_08025	51680	2.0	1.0
32930	70M中公1957_14028	21890	47190	70M中公1933_09023	33200	4.0	4.0
25060	70M文春1965_05029	15750	17380	70M中公1941_07012	10960	2.0	2.0
48750	70M中公1933_05004	31550	319300	70M中公1957_10008	202150	3.0	3.0
56660	70M中公1941_08035	38410	33130	70M中公1957_01012	21470	4.0	4.0
120450	70M文春1973_13053	76150	91940	70M文春1965_10030	58660	4.0	4.0
4650	70M中公1933_08053	2990	14880	70M中公1957_09008	9690	2.0	2.0
59500	70M文春1965_05023	36650	101000	70M中公1957_05005	63200	3.0	3.0
123970	70M中公1933_01024	81790	11720	70M文春1965_09012	7200	3.0	3.0
120000	70M文春1965_05033	78300	84020	70M中公1949_09011	57110	4.0	3.0
2990	70M文春1965_11010	1700	114790	70M文春1965_01032	76950	4.0	3.0
77510	70M中公1933_12028	50090	58310	70M中公1941_08035	39640	2.0	3.0
