usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
3720	80M文春1989_06055	2310	129230	70M文春1981_03038	79400	4.0	3.0
110910	80M文春1989_08016	70920	19430	PM25_00114	11890	3.0	3.0
33770	80M文春1989_11023	21300	51560	80M文春1989_10076	34550	3.0	2.0
88940	80M文春2005_03058	58920	65340	PM25_00130	41230	3.0	2.0
97620	70M文春1981_13060	61490	48510	70M文春1981_01147	30910	2.0	3.0
2850	80M文春2013_12067	1810	30730	PM25_00114	19120	4.0	3.0
67630	70M文春1981_02038	42240	6910	PM41_01510	4080	4.0	3.0
94510	PM31_00552	55040	5670	80M文春1997_05028	3570	3.0	3.0
37110	80M文春1997_04038	25000	23200	PM25_00114	14410	4.0	4.0
57700	70M文春1981_10020	36110	48160	80M文春1997_08014	30950	4.0	3.0
67070	80M文春1989_05016	42580	16700	PM51_00149	9170	3.0	2.0
88260	PM55_00005	49950	29250	PM31_00740	19160	3.0	4.0
9650	80M文春2013_08018	6760	93940	PM41_00709	58960	4.0	3.0
2860	80M文春2005_05075	1820	27460	PM11_00034	16490	2.0	2.0
38180	80M文春2005_02070	24050	30990	80M文春1989_12019	19710	3.0	2.0
12980	PM31_00018	8590	168930	80M文春2005_01017	111890	3.0	3.0
21090	PM51_00696	14000	5070	PM25_00130	3030	2.0	後者は見出しかと思いますが、判断が難しいです
16440	PM11_00259	9660	3710	70M文春1981_13079	2400	2.0	4.0
6080	80M文春1997_11030	3900	191160	70M文春1981_12027	128080	3.0	4.0
45590	PM41_00111	29090	65640	80M文春1989_08013	42480	2.0	2.0
